instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Noise
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,0
8157,2011-12-11,4,0,12,12,0,0,0,1,0.26,0.303,0.35,0,42,246,288,0
10728,2012-03-28,2,1,3,2,0,3,1,1,0.34,0.303,0.49,0.2985,0,3,3,0
11603,2012-05-03,2,1,5,15,0,4,1,1,0.66,0.6212,0.61,0.194,63,220,283,0
13503,2012-07-21,3,1,7,19,0,6,0,2,0.6,0.5455,0.88,0.1642,67,171,238,0
8835,2011-01-01,0,0,15,4,2,4,2,1,0.73,0.42,0.25,0.1,322,896,790,1
903,2011-02-10,1,0,2,2,0,4,1,3,0.14,0.1515,0.8,0.1343,0,3,3,0
15623,2011-01-01,3,2,11,7,2,1,0,3,1.09,1.17,0.42,0.55,345,181,1087,1
4455,2011-07-09,3,0,7,12,0,6,0,1,0.8,0.7273,0.46,0.2537,145,221,366,0
11001,2012-04-08,2,1,4,12,0,0,0,1,0.54,0.5152,0.24,0.2537,198,259,457,0
6427,2011-09-30,4,0,9,8,0,5,1,1,0.54,0.5152,0.77,0.1343,31,425,456,0
13584,2012-07-25,3,1,7,4,0,3,1,1,0.64,0.6061,0.65,0.2239,0,4,4,0
16188,2011-01-01,4,1,5,14,1,7,1,5,0.46,0.34,0.6,0.21,83,76,1144,1
18180,2011-01-01,5,1,15,22,2,0,2,0,0.9,0.64,0.15,0.25,199,624,88,1
1009,2011-02-14,1,0,2,16,0,1,1,1,0.52,0.5,0.27,0.4627,16,102,118,0
10624,2011-01-01,2,2,14,19,2,6,0,2,0.35,1.12,0.64,0.38,395,870,177,1
4225,2011-01-01,1,2,9,15,2,7,2,2,0.19,1.02,0.79,0.58,165,1009,464,1
3697,2011-06-07,2,0,6,22,0,2,1,1,0.7,0.6515,0.65,0.1343,27,126,153,0
15263,2012-10-03,4,1,10,3,0,3,1,2,0.6,0.5152,0.94,0,0,7,7,0
8972,2012-01-14,1,1,1,16,0,6,0,1,0.24,0.2273,0.38,0.2239,28,178,206,0
4116,2011-06-25,3,0,6,9,0,6,0,1,0.72,0.6515,0.45,0.2537,47,139,186,0
10713,2012-03-27,2,1,3,11,0,2,1,1,0.3,0.303,0.31,0.1642,34,141,175,0
3615,2011-01-01,3,2,13,7,0,1,2,2,0.09,0.42,0.42,0.34,270,610,812,1
11908,2012-05-16,2,1,5,8,0,3,1,1,0.58,0.5455,0.83,0,33,617,650,0
5172,2011-08-08,3,0,8,9,0,1,1,1,0.76,0.697,0.55,0.3881,37,146,183,0
16613,2012-11-29,4,1,11,23,0,4,1,1,0.28,0.3182,0.61,0,6,124,130,0
13696,2012-07-29,3,1,7,20,0,0,0,1,0.74,0.697,0.66,0.1045,75,228,303,0
15404,2012-10-09,4,1,10,0,0,2,1,2,0.38,0.3939,0.82,0.2239,9,22,31,0
8338,2011-01-01,2,2,2,16,2,3,1,1,1.08,0.1,0.49,0.49,310,525,1142,1
15593,2012-10-16,4,1,10,21,0,2,1,1,0.46,0.4545,0.63,0,19,176,195,0
18843,2011-01-01,2,1,3,28,1,3,0,0,0.39,0.93,1.01,0.21,33,385,932,1
19224,2011-01-01,5,1,9,19,2,1,1,0,0.55,0.6,0.84,0.63,18,385,543,1
14464,2012-08-30,3,1,8,20,0,4,1,1,0.74,0.6818,0.58,0.1642,68,403,471,0
20181,2011-01-01,5,0,3,0,1,6,2,3,0.28,0.91,1.05,0.91,226,183,911,1
9237,2011-01-01,2,2,12,19,2,1,2,5,0.83,0.6,1.07,0.5,419,214,911,1
8719,2012-01-04,1,1,1,2,0,3,1,1,0.02,0.0152,0.34,0.2836,0,1,1,0
2930,2011-05-06,2,0,5,23,0,5,1,1,0.44,0.4394,0.82,0.1343,27,93,120,0
2188,2011-01-01,2,2,0,25,1,3,2,4,0.08,1.17,0.61,0.38,405,649,110,1
14679,2012-09-08,3,1,9,19,0,6,0,3,0.58,0.5455,0.88,0.1045,28,187,215,0
1445,2011-03-05,1,0,3,11,0,6,0,2,0.4,0.4091,0.76,0.2239,43,116,159,0
12835,2012-06-23,3,1,6,23,0,6,0,1,0.72,0.6515,0.44,0,69,156,225,0
14999,2012-09-22,3,1,9,3,0,6,0,1,0.56,0.5303,0.83,0.2836,6,39,45,0
6389,2011-01-01,2,2,7,12,0,8,0,5,0.27,0.75,0.65,0.51,209,563,609,1
6438,2011-01-01,3,1,15,26,0,1,0,1,0.6,0.86,1.09,0.85,358,847,178,1
11626,2011-01-01,2,2,5,21,1,8,1,5,0.72,0.82,0.61,0.41,18,63,719,1
486,2011-01-22,1,0,1,7,0,6,0,1,0.02,0.0152,0.44,0.2836,0,8,8,0
11033,2012-04-09,2,1,4,20,0,1,1,1,0.5,0.4848,0.36,0.4478,21,255,276,0
15153,2012-09-28,4,1,9,13,0,5,1,2,0.7,0.6515,0.51,0.2537,106,304,410,0
5358,2011-08-16,3,0,8,3,0,2,1,1,0.62,0.5909,0.73,0.2239,1,5,6,0
11633,2012-05-04,2,1,5,21,0,5,1,1,0.64,0.6061,0.69,0.194,49,186,235,0
3757,2011-01-01,1,0,0,12,0,7,1,2,0.26,0.92,1.18,0.84,258,53,1036,1
16501,2011-01-01,0,2,5,6,0,4,2,1,1.01,0.28,0.26,0.15,170,356,61,1
17096,2012-12-20,4,1,12,2,0,4,1,1,0.32,0.3485,0.66,0,2,6,8,0
15309,2012-10-05,4,1,10,1,0,5,1,1,0.54,0.5152,0.68,0.1045,3,43,46,0
1917,2011-03-25,2,0,3,15,0,5,1,2,0.34,0.3182,0.36,0.2537,43,79,122,0
10552,2011-01-01,5,1,2,25,0,1,2,1,0.05,0.27,0.48,0.99,51,86,807,1
17368,2011-01-01,0,0,9,14,0,2,1,2,1.16,0.56,0.23,0.59,241,1053,857,1
17288,2012-12-28,1,1,12,4,0,5,1,2,0.24,0.2576,0.6,0.1045,0,4,4,0
1211,2011-01-01,2,2,5,15,2,8,1,1,0.69,0.86,0.58,0.1,424,989,365,1
2363,2011-04-13,2,0,4,8,0,3,1,3,0.38,0.3939,0.94,0.194,6,158,164,0
13731,2012-07-31,3,1,7,7,0,2,1,1,0.68,0.6364,0.83,0.2239,21,492,513,0
9827,2012-02-19,1,1,2,9,0,0,0,2,0.24,0.2273,0.56,0.2537,20,73,93,0
14831,2012-09-15,3,1,9,3,0,6,0,1,0.6,0.5909,0.73,0.2537,6,31,37,0
3887,2011-06-15,2,0,6,20,0,3,1,1,0.66,0.6212,0.44,0.1642,57,273,330,0
16651,2012-12-01,4,1,12,13,0,6,0,2,0.34,0.3636,0.76,0,123,386,509,0
4459,2011-07-09,3,0,7,16,0,6,0,1,0.82,0.7273,0.38,0,171,245,416,0
11873,2011-01-01,1,1,2,4,2,3,2,0,0.67,0.41,1.11,0.42,376,170,415,1
4336,2011-07-04,3,0,7,13,1,1,0,2,0.78,0.7121,0.49,0,242,181,423,0
15893,2011-01-01,0,0,14,2,1,4,1,3,1.18,0.27,0.03,0.66,1,982,459,1
18612,2011-01-01,2,1,11,15,2,5,0,3,0.9,0.13,0.48,0.91,425,182,854,1
1467,2011-01-01,1,0,13,15,1,3,1,0,0.82,0.63,0.6,0.97,413,691,704,1
8884,2012-01-11,1,1,1,0,0,3,1,1,0.26,0.303,0.81,0,2,26,28,0
12820,2011-01-01,5,0,13,19,1,8,0,4,1.0,0.02,1.18,0.98,173,214,195,1
12062,2011-01-01,0,1,1,24,2,5,1,1,0.4,0.08,1.12,0.69,71,229,631,1
4678,2011-01-01,2,2,10,21,1,0,2,0,1.18,0.98,0.56,0.54,19,6,840,1
861,2011-02-08,1,0,2,7,0,2,1,1,0.24,0.197,0.65,0.4179,3,97,100,0
