instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Noise
14831,2012-09-15,3,1,9,3,0,6,0,1,0.6,0.5909,0.73,0.2537,6,31,37,0
24156,2011-01-01,6,0,1,7,2,0,2,6,0.8,0.57,0.62,0.67,441,402,274,1
4593,2011-01-01,0,0,6,11,1,6,1,1,1.36,0.29,0.81,1.16,501,895,1358,1
965,2011-02-12,1,0,2,19,0,6,0,1,0.28,0.2727,0.38,0.1642,2,39,41,0
8601,2011-12-30,1,0,12,3,0,5,1,1,0.24,0.2576,0.7,0.1045,0,6,6,0
12446,2011-01-01,2,0,14,28,2,7,0,5,1.04,1.05,0.76,0.1,523,130,353,1
20075,2011-01-01,6,2,14,26,1,1,0,6,0.7,0.04,1.05,0.29,332,798,729,1
5724,2011-08-31,3,0,8,22,0,3,1,1,0.64,0.6061,0.69,0,20,137,157,0
14475,2012-08-31,3,1,8,7,0,5,1,2,0.64,0.5758,0.89,0.0896,21,400,421,0
3239,2011-05-19,2,0,5,20,0,4,1,1,0.54,0.5152,0.77,0.2836,46,236,282,0
8716,2012-01-03,1,1,1,23,0,2,1,1,0.1,0.0758,0.46,0.3881,0,18,18,0
12313,2012-06-02,2,1,6,5,0,6,0,1,0.5,0.4848,0.72,0.194,1,11,12,0
15194,2012-09-30,4,1,9,6,0,0,0,1,0.44,0.4394,0.72,0.0896,2,20,22,0
10078,2012-02-29,1,1,2,23,0,3,1,3,0.42,0.4242,0.94,0.2537,3,30,33,0
883,2011-02-09,1,0,2,6,0,3,1,1,0.06,0.1515,0.45,0,0,43,43,0
7669,2011-11-21,4,0,11,3,0,1,1,3,0.44,0.4394,1,0.1343,0,4,4,0
11166,2012-04-15,2,1,4,10,0,0,0,1,0.58,0.5455,0.53,0.2239,186,235,421,0
14398,2012-08-28,3,1,8,2,0,2,1,1,0.68,0.6364,0.83,0.2537,2,13,15,0
16213,2012-11-13,4,1,11,6,0,2,1,3,0.32,0.2879,0.81,0.4627,2,48,50,0
13580,2012-07-25,3,1,7,0,0,3,1,1,0.72,0.6667,0.58,0.2985,9,57,66,0
6049,2011-09-14,3,0,9,14,0,3,1,1,0.78,0.7121,0.52,0.2239,19,105,124,0
8041,2011-01-01,0,1,7,17,2,9,1,4,0.88,0.6,0.99,0.65,390,1137,340,1
20160,2011-01-01,2,2,8,31,2,2,2,2,1.16,0.5,1.13,0.15,506,762,949,1
14411,2011-01-01,1,1,2,33,1,8,2,2,0.64,0.3,0.12,0.22,167,216,85,1
22616,2011-01-01,0,0,9,8,0,9,1,3,1.05,0.99,0.41,0.14,147,1317,269,1
318,2011-01-14,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,4,155,159,0
9014,2012-01-16,1,1,1,10,1,1,0,2,0.14,0.1364,0.59,0.194,19,107,126,0
8564,2011-12-28,1,0,12,14,0,3,1,1,0.32,0.2879,0.39,0.3881,24,96,120,0
2565,2011-04-21,2,0,4,18,0,4,1,1,0.5,0.4848,0.25,0.2836,71,381,452,0
20309,2011-01-01,4,1,8,8,0,0,0,4,1.29,0.66,0.7,0.95,377,461,1196,1
1520,2011-03-08,1,0,3,16,0,2,1,1,0.38,0.3939,0.27,0.1642,26,82,108,0
5246,2011-08-11,3,0,8,11,0,4,1,1,0.76,0.6667,0.35,0.2537,59,128,187,0
25363,2011-01-01,5,1,0,18,1,8,1,3,0.77,0.89,0.75,0.03,497,223,1130,1
10738,2012-03-28,2,1,3,12,0,3,1,2,0.54,0.5152,0.39,0.3582,50,218,268,0
12229,2012-05-29,2,1,5,17,0,2,1,1,0.82,0.7576,0.46,0.4179,107,674,781,0
12506,2012-06-10,2,1,6,6,0,0,0,1,0.62,0.5909,0.73,0,3,27,30,0
15291,2012-10-04,4,1,10,7,0,4,1,2,0.64,0.5758,0.89,0.0896,12,379,391,0
16981,2011-01-01,5,0,15,30,1,7,1,3,0.82,0.16,1.29,0.47,60,605,581,1
10213,2012-03-06,1,1,3,14,0,2,1,1,0.32,0.303,0.36,0.2239,20,116,136,0
9443,2012-02-03,1,1,2,8,0,5,1,1,0.24,0.2273,0.65,0.2239,12,429,441,0
10266,2011-01-01,6,2,3,2,1,0,1,6,0.01,0.97,1.47,0.43,226,293,212,1
13948,2012-08-09,3,1,8,8,0,4,1,1,0.72,0.697,0.74,0.1045,28,670,698,0
8405,2011-12-21,1,0,12,20,0,3,1,2,0.5,0.4848,0.94,0.3582,5,162,167,0
3228,2011-05-19,2,0,5,9,0,4,1,2,0.54,0.5152,0.88,0.0896,40,176,216,0
8636,2011-12-31,1,0,12,14,0,6,0,1,0.46,0.4545,0.51,0.3284,115,185,300,0
15600,2012-10-17,4,1,10,4,0,3,1,1,0.36,0.3636,0.81,0.0896,0,4,4,0
8367,2011-12-20,4,0,12,6,0,2,1,2,0.36,0.3788,0.57,0,1,71,72,0
3332,2011-05-23,2,0,5,17,0,1,1,3,0.72,0.6818,0.7,0.3881,56,373,429,0
3633,2011-06-05,2,0,6,6,0,0,0,2,0.62,0.6061,0.61,0.1045,10,11,21,0
22192,2011-01-01,1,0,10,0,2,2,1,2,0.46,0.16,1.27,1.25,341,1230,1287,1
824,2011-01-01,0,1,7,34,1,3,0,0,1.4,0.92,0.03,0.43,215,535,1348,1
18330,2011-01-01,0,0,16,1,1,7,2,6,1.1,0.14,0.32,0.01,67,324,1163,1
20806,2011-01-01,3,2,3,24,1,1,1,2,1.33,1.1,0.79,0.15,38,284,830,1
13968,2012-08-10,3,1,8,4,0,5,1,3,0.7,0.6667,0.84,0.2836,0,7,7,0
359,2011-01-16,1,0,1,10,0,0,0,1,0.22,0.2121,0.51,0.2836,8,71,79,0
11630,2012-05-04,2,1,5,18,0,5,1,1,0.7,0.6515,0.54,0.4627,77,564,641,0
6236,2011-09-22,3,0,9,9,0,4,1,2,0.62,0.5455,0.94,0.194,35,168,203,0
11669,2012-05-06,2,1,5,9,0,0,0,2,0.52,0.5,0.83,0.1642,63,128,191,0
9247,2012-01-26,1,1,1,4,0,4,1,1,0.28,0.3182,0.75,0,0,3,3,0
4273,2011-07-01,3,0,7,22,0,5,1,1,0.7,0.6364,0.42,0,49,173,222,0
341,2011-01-15,1,0,1,16,0,6,0,2,0.34,0.3333,0.34,0.194,33,95,128,0
3550,2011-06-01,2,0,6,19,0,3,1,2,0.74,0.7121,0.79,0.1642,16,248,264,0
5210,2011-08-09,3,0,8,23,0,2,1,1,0.76,0.6818,0.48,0.2836,22,53,75,0
16660,2012-12-01,4,1,12,22,0,6,0,2,0.3,0.3333,0.87,0,17,130,147,0
15920,2012-11-01,4,1,11,0,0,4,1,1,0.36,0.3636,0.57,0.0896,8,52,60,0
