fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,Noise
6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6,2580,0
10.63,1.22,2.14,41.97,0.3,268,314,1.33,2.63,1.37,21.22,3,4813,1
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5,3355,0
5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,7,1305,0
21.29,1.31,0.03,12.59,0.09,83,325,0.91,4.68,1.14,17.23,5,2291,1
5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6,2793,0
7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,5,3327,0
6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,5,3515,0
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7,3496,0
7.26,0.91,0.93,20.82,0.3,395,427,1.32,3.65,1.45,18.8,4,2678,1
7.68,1.11,2.27,8.91,0.07,233,373,1.01,4.66,0.86,4.76,2,5394,1
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,3849,0
6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9,7,1627,0
6.8,0.77,2.06,37.17,0.11,156,311,1.36,4.66,0.63,11.61,11,5736,1
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,1187,0
5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,6,1826,0
14.13,0.61,0.49,0.49,0.47,52,339,0.68,5.03,0.92,13.89,11,5496,1
8.32,1.44,1.97,48.79,0.06,295,68,0.61,4.84,1.14,18.43,14,2825,1
2.93,0.29,1.09,41.57,0.46,41,8,0.5,4.73,1.4,16.6,13,6978,1
7.1,0.15,0.34,1,0.033,27,73,0.98974,3.24,0.41,12.2,6,3829,0
15.44,0.12,1.77,3.22,0.18,148,506,1.05,1.98,0.35,18.98,11,3620,1
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7,3231,0
6.5,0.26,0.31,3.6,0.03,36,92,0.99026,3.22,0.62,12.6,8,3598,0
7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,5,3236,0
7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5,3567,0
6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,6,3243,0
7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7,3330,0
10.68,0.21,1.84,47.71,0.38,163,490,1.08,3.89,0.83,17.85,11,4948,1
11.99,1.04,1.17,14.27,0.41,339,165,1.46,2.9,0.8,5.56,6,7296,1
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5,3362,0
7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7,1311,0
7.07,0.81,2.22,34.55,0.25,316,16,0.72,1.68,0.42,13.78,6,6832,1
6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12,7,1319,0
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,2481,0
21.19,0.89,1.63,22.13,0.49,180,484,0.99,2.14,0.95,5.57,11,4384,1
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5,1325,0
14.95,0.17,1.58,91.55,0.21,316,22,0.66,2.28,0.82,4.28,5,2211,1
7.88,1.62,0.65,24.51,0.06,335,430,1.09,2.74,1.13,17.44,4,4972,1
7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6,4166,0
5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,5,2017,0
7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,5,2385,0
6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.8,6,4740,0
7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,5,4826,0
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,2342,0
6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3,6,1480,0
7.86,1.29,1.58,16.38,0.33,318,61,0.66,5.21,1.08,14.82,13,653,1
8.71,0.39,1.71,25.87,0.27,106,12,1.15,3.04,1.13,13.63,10,4639,1
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,1089,0
6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,6,4100,0
21.14,0.57,1.85,3.67,0.27,409,366,0.6,2.82,0.59,6.32,3,996,1
6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,6,3155,0
3.53,0.92,2.06,76.04,0.02,178,276,1.28,3.79,1.4,11.38,1,706,1
6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7,4825,0
17.37,1.41,0.65,13.06,0.41,333,56,0.98,5.59,1.3,16.48,6,2351,1
8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4,3182,0
