fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,Noise
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,1696,0
7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,6,2945,0
16.24,0.59,0.12,96.5,0.07,267,576,0.78,2.31,0.14,15.01,11,6853,1
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,2292,0
18.97,0.66,2.37,42.28,0.49,228,537,1.3,4.08,0.13,16.98,4,4396,1
16.02,1.52,2.36,70.88,0.45,324,145,0.99,5.27,0.76,12.42,9,6834,1
6.2,0.24,0.27,2.9,0.039,30,123,0.98959,3.12,0.37,12.8,6,1980,0
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,4889,0
8.9,0.33,0.34,1.4,0.056,14,171,0.9946,3.13,0.47,9.7,5,2670,0
9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,5,2544,0
6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4,2734,0
7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6,2977,0
7,0.4,0.25,1.8,0.05,51,189,0.99174,3,0.55,11.4,6,1856,0
2.45,0.23,2.07,11.88,0.38,421,457,1.39,3.41,0.91,17.77,4,4740,1
6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5,2657,0
3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6,4502,0
7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,6,1030,0
6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6,1720,0
7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5,3210,0
6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8,4173,0
6.1,0.18,0.36,2,0.038,20,249.5,0.9923,3.37,0.79,11.3,6,1456,0
6.7,0.36,0.26,7.9,0.034,39,123,0.99119,2.99,0.3,12.2,7,4306,0
6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,6,3505,0
6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,8,2307,0
9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5,1095,0
7.5,0.21,0.32,4.8,0.056,39,113,0.99393,3.11,0.52,10.2,7,4772,0
8.73,0.1,1.11,78.19,0.18,41,263,1.23,5.32,0.78,6.97,1,2016,1
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,6,1914,0
8.73,1.05,0.49,43.0,0.43,137,274,1.32,5.35,1.02,6.95,7,6310,1
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6,3333,0
8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5,1193,0
8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,6,3447,0
6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,8,3723,0
3.98,1.6,1.6,44.15,0.12,81,384,1.54,4.62,0.85,19.02,9,3950,1
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,2539,0
6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,6,1435,0
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,1496,0
5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5,3626,0
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6,3356,0
6.3,0.25,0.53,1.8,0.021,41,101,0.989315,3.19,0.31,13,6,3786,0
7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7,2620,0
6.48,1.3,2.27,70.98,0.14,43,564,1.47,5.5,0.59,10.74,6,3778,1
8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5,1656,0
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,1041,0
15.96,1.59,0.78,12.47,0.15,223,506,1.2,1.92,0.15,18.69,14,1747,1
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,3664,0
7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,5,2385,0
6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5,1705,0
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6,2741,0
