instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2,feature3,feature4
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,61,696,15,632
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,27,771,225,548
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,9,842,34,554
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,28,665,1,614
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,70,778,165,593
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,80,896,20,702
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,76,638,28,541
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,24,892,81,593
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,47,631,235,581
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,22,995,85,630
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,10,632,1,645
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,39,675,151,614
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,7,933,239,680
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,100,835,121,550
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,3,687,211,625
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,74,643,36,556
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,43,575,71,541
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,95,608,193,574
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,26,865,16,708
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,84,931,222,508
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,58,875,211,509
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,29,906,132,733
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,28,715,5,666
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,18,816,103,622
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,41,984,179,647
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,8,962,47,713
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,32,784,170,747
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,16,731,10,559
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,57,634,110,701
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,100,712,200,648
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,73,890,157,661
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,75,982,40,533
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,7,937,248,724
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,52,894,225,708
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,53,919,91,685
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,3,660,8,695
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,18,765,173,564
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,60,597,92,705
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,55,920,173,683
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,27,625,164,595
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,4,924,147,513
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,84,864,74,627
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,44,935,120,631
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,39,938,30,651
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,46,604,98,553
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,42,856,142,714
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,38,667,193,639
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,82,766,137,720
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,42,838,55,617
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,6,836,62,553
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,50,766,245,507
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,10,878,4,568
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,91,884,144,568
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,17,870,65,664
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,14,524,156,667
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,30,678,147,715
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,80,905,193,501
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,62,839,36,531
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,2,557,169,506
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,49,706,194,712
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,45,961,85,624
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,38,751,210,710
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,13,913,67,514
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,63,750,129,645
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,82,821,6,667
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,61,603,176,680
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,92,546,25,736
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,46,581,0,692
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,31,911,62,624
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,86,887,35,749
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,23,944,204,557
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,22,624,85,596
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,14,605,142,598
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,54,596,247,552
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,98,982,90,593
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,100,973,163,693
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,56,960,61,745
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,18,899,203,707
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,92,840,7,731
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,46,676,236,535
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,93,881,96,738
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,51,966,34,639
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,52,595,179,637
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,67,541,197,724
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,41,706,68,698
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,52,818,92,502
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,23,967,123,504
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,34,930,175,602
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,48,915,89,568
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,51,502,209,508
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,21,832,145,681
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,6,528,157,641
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,59,863,170,668
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,19,595,222,715
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,98,788,74,610
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,21,555,207,562
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,86,700,133,742
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,20,944,171,706
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,53,783,174,730
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,84,780,205,600
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,72,679,248,521
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,87,750,240,678
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,78,999,19,570
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,53,866,72,706
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,34,812,15,515
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,10,528,191,640
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,39,643,165,747
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,92,722,249,548
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,30,891,190,581
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,53,553,168,642
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,21,850,152,662
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,50,529,162,682
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,40,548,207,715
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,58,888,30,574
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,6,899,153,660
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,9,925,42,685
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,49,535,123,701
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,10,759,18,649
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,44,777,117,532
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,28,534,158,500
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,10,818,66,636
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,10,675,126,529
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,0,729,142,597
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,87,960,140,701
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,22,564,147,650
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,86,867,61,614
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,3,850,13,514
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,33,590,138,613
