instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_3,feature_y_3,feature_y_3
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,95,4096.0,0.5940846816900167
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,27,64000.0,0.5111492047520422
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,74,32768.0,67.32311401195065
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,74,2197.0,67.32311401195065
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,9,1.0,0.7081558739235672
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,31,1.0,1.6779583343684343
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,15,8.0,0.6059548980890475
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,81,27.0,2.7018847930632726
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,72,512.0,0.7975605094780727
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,90,2744.0,0.5279840346175494
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,58,46656.0,0.5017882105819239
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,62,175616.0,3.8340720458680737
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,58,592704.0,0.5017882105819239
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,39,830584.0,0.5092180208714154
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,53,1191016.0,0.7163707881255232
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,89,1331000.0,0.5376143475480764
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,88,804357.0,0.9658118980490871
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,97,300763.0,0.7248437158702044
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,5,42875.0,24.34527915938213
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,36,50653.0,121.63753475026189
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,36,46656.0,121.63753475026189
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,68,39304.0,9.796975387185967
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,96,21952.0,0.5041370124924979
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,83,59319.0,0.5080359962611123
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,72,4913.0,0.7975605094780727
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,92,4913.0,4.534449634384539
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,92,729.0,4.534449634384539
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,25,216.0,1.1525407907094694
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,73,27.0,3.0937909668046757
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,33,8.0,0.500022035944306
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,60,1.0,1.4384569591461411
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,14,512.0,0.5023592408312615
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,10,8000.0,2.193083986739962
