instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_2,feature_y_2
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,58,4096.0
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,79,64000.0
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,87,32768.0
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,39,2197.0
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,57,1.0
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,21,1.0
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,97,8.0
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,74,27.0
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,20,512.0
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,55,2744.0
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,24,46656.0
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,60,175616.0
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,4,592704.0
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,39,830584.0
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,28,1191016.0
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,83,1331000.0
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,44,804357.0
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,52,300763.0
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,34,42875.0
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,27,50653.0
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,32,46656.0
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,33,39304.0
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,8,21952.0
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,68,59319.0
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,4,4913.0
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,18,4913.0
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,81,729.0
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,40,216.0
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,16,27.0
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,76,8.0
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,19,1.0
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,11,512.0
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,47,8000.0
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,51,148877.0
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,58,343000.0
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,22,804357.0
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,97,421875.0
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,73,205379.0
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,83,405224.0
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,19,438976.0
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,43,274625.0
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,12,148877.0
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,71,27000.0
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,24,10648.0
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,61,29791.0
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,56,729.0
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,65,512.0
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,82,125.0
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,27,8.0
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,17,1.0
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,27,27.0
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,3,27000.0
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,73,262144.0
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,29,3652264.0
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,4,681472.0
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,65,85184.0
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,83,132651.0
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,52,226981.0
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,77,226981.0
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,81,456533.0
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,10,373248.0
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,95,438976.0
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,90,3869893.0
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,77,3869893.0
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,42,1331000.0
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,9,140608.0
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,41,140608.0
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,29,8000.0
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,44,1728.0
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,27,125.0
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,89,8.0
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,77,1.0
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,86,8.0
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,42,64.0
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,96,46656.0
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,3,830584.0
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,65,5735339.0
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,9,1000000.0
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,22,74088.0
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,79,185193.0
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,30,474552.0
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,83,912673.0
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,43,250047.0
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,46,274625.0
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,90,571787.0
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,1,9528128.0
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,33,6028568.0
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,40,1404928.0
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,43,157464.0
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,68,110592.0
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,43,42875.0
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,92,1331.0
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,53,216.0
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,8,216.0
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,70,8.0
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,33,8.0
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,77,27.0
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,100,35937.0
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,17,681472.0
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,64,7414875.0
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,48,1520875.0
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,49,185193.0
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,100,97336.0
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,39,493039.0
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,34,357911.0
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,79,238328.0
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,21,238328.0
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,61,704969.0
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,98,6859000.0
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,10,4826809.0
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,56,2299968.0
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,16,704969.0
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,99,79507.0
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,47,74088.0
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,59,6859.0
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,21,1331.0
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,6,64.0
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,41,8.0
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,78,1.0
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,20,64.0
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,34,46656.0
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,79,857375.0
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,26,10503459.0
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,46,1815848.0
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,93,91125.0
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,80,205379.0
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,15,592704.0
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,23,300763.0
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,26,343000.0
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,70,238328.0
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,85,636056.0
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,47,5088448.0
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,28,4330747.0
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,60,1404928.0
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,38,328509.0
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,31,110592.0
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,77,140608.0
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,96,12167.0
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,22,4913.0
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,93,343.0
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,90,1.0
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,100,1.0
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,87,125.0
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,34,39304.0
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,86,592704.0
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,44,9261000.0
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,86,2406104.0
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,82,250047.0
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,55,300763.0
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,81,205379.0
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,49,389017.0
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,99,125000.0
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,39,373248.0
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,83,658503.0
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,42,6539203.0
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,5,1860867.0
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,5,857375.0
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,42,132651.0
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,57,59319.0
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,55,46656.0
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,95,3375.0
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,19,15625.0
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,83,4096.0
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,88,4096.0
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,30,343.0
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,72,1.0
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,63,125.0
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,75,8.0
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,4,729.0
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,19,3375.0
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,42,8000.0
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,17,226981.0
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,100,238328.0
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,81,941192.0
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,73,1061208.0
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,40,857375.0
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,21,405224.0
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,85,438976.0
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,29,328509.0
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,63,166375.0
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,12,27000.0
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,89,21952.0
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,29,50653.0
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,10,39304.0
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,71,10648.0
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,15,15625.0
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,22,1728.0
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,75,1331.0
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,65,64.0
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,73,1.0
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,87,1.0
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,83,1.0
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,65,216.0
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,52,1000.0
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,87,6859.0
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,29,117649.0
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,27,117649.0
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,98,571787.0
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,75,421875.0
