instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
13979,3,1,8,15,0.8,0.7424,0.52,0.4478,100,324,0
8267,4,0,12,2,0.48,0.4697,0.77,0.1045,0,23,0
6187,3,0,9,8,0.54,0.5152,0.94,0.2537,13,209,0
15754,4,1,10,14,0.68,0.6364,0.41,0.1642,67,296,0
4040,3,0,6,5,0.64,0.5758,0.89,0,2,23,0
11427,4,2,12,16,0.73,0.74,0.34,0.83,245,292,1
10890,2,1,4,21,0.54,0.5152,0.45,0,33,243,0
263,1,0,1,9,0.16,0.1364,0.59,0.3284,3,81,0
15450,4,1,10,22,0.46,0.4545,0.55,0.2985,27,197,0
4001,2,0,6,14,0.66,0.6212,0.61,0.1045,45,175,0
12,1,1,2,22,0.85,0.34,0.96,0.66,7,847,1
16621,1,2,11,16,0.83,0.75,0.18,0.02,297,791,1
16476,4,1,11,5,0.26,0.2273,0.41,0.3284,1,3,0
16324,4,1,11,21,0.32,0.3333,0.57,0.1045,15,139,0
6831,4,0,10,4,0.52,0.5,0.59,0.1642,2,5,0
14771,3,1,9,15,0.72,0.6515,0.37,0.1343,75,318,0
9175,1,1,1,4,0.2,0.2576,0.8,0,0,1,0
4239,2,2,8,8,0.31,0.78,0.76,0.04,89,571,1
15351,4,1,10,19,0.48,0.4697,0.55,0.2239,102,341,0
6108,3,0,9,1,0.46,0.4545,0.72,0.1045,28,80,0
486,1,0,1,7,0.02,0.0152,0.44,0.2836,0,8,0
7941,4,0,12,12,0.36,0.3485,0.57,0.1343,18,204,0
5969,2,1,13,20,0.2,0.07,0.78,0.52,76,851,1
8731,1,1,1,14,0.14,0.1212,0.46,0.2537,6,75,0
15863,4,1,10,3,0.5,0.4848,0.63,0.3284,18,79,0
9066,1,1,1,15,0.3,0.2576,0.33,0.5224,8,130,0
14887,3,1,9,11,0.62,0.6061,0.69,0.2239,61,252,0
12125,2,1,5,9,0.64,0.5758,0.89,0.1343,52,340,0
2806,2,0,5,19,0.46,0.4545,0.84,0.1045,47,178,0
1127,1,0,2,16,0.44,0.4394,0.16,0.6418,39,120,0
12242,2,1,5,6,0.6,0.5758,0.78,0.1045,5,144,0
13862,3,1,8,18,0.7,0.6667,0.74,0.1343,75,229,0
1193,1,0,2,17,0.22,0.2121,0.51,0.2239,8,196,0
7081,4,0,10,15,0.52,0.5,0.83,0.1045,12,107,0
15258,3,2,9,25,0.26,0.59,0.72,0.81,23,846,1
9468,1,1,2,9,0.24,0.2424,0.81,0.1343,16,157,0
10193,1,1,3,18,0.28,0.2273,0.55,0.6567,12,375,0
17059,1,0,3,10,0.69,0.05,0.01,0.08,280,49,1
8516,1,0,12,13,0.38,0.3939,0.4,0.2985,57,140,0
4639,3,0,7,4,0.62,0.5909,0.73,0.1642,4,10,0
864,5,0,8,13,0.62,0.16,0.44,0.66,44,137,1
3039,2,0,5,12,0.6,0.6212,0.56,0,41,226,0
12236,2,1,5,0,0.64,0.5758,0.89,0.1045,4,36,0
12843,3,1,6,7,0.64,0.6061,0.69,0.1045,23,71,0
12621,2,1,6,1,0.58,0.5455,0.78,0.194,9,51,0
15509,4,1,10,9,0.36,0.3636,0.5,0.0896,46,266,0
3243,2,0,5,0,0.46,0.4545,0.94,0.0896,15,48,0
10979,2,1,4,14,0.5,0.4848,0.22,0.2985,326,578,0
8688,1,1,1,19,0.24,0.2273,0.38,0.2239,4,93,0
2859,2,0,5,0,0.52,0.5,0.77,0.1642,5,27,0
16639,0,2,10,1,0.87,0.63,0.59,0.49,329,413,1
1552,1,0,3,0,0.34,0.3182,0,0.2537,3,3,0
6761,4,0,10,6,0.56,0.5303,0.88,0.194,4,94,0
15520,5,2,9,15,0.72,0.82,0.68,0.63,203,43,1
1646,1,0,3,2,0.26,0.2879,0.65,0.0896,0,1,0
3963,2,0,6,0,0.7,0.6515,0.65,0,18,89,0
11488,2,1,4,20,0.38,0.3939,0.66,0,21,102,0
