instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,82,988
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,20,762
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,37,762
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,80,838
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,94,600
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,16,656
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,49,844
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,95,949
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,39,990
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,24,504
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,96,501
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,0,637
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,64,664
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,22,583
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,54,843
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,36,945
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,33,806
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,63,881
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,94,731
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,95,840
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,44,583
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,59,664
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,12,554
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,3,509
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,49,803
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,12,825
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,27,841
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,33,844
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,38,589
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,87,569
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,100,888
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,40,627
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,40,659
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,41,807
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,38,892
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,53,992
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,20,727
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,16,963
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,62,983
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,81,800
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,33,750
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,35,771
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,55,856
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,73,867
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,36,865
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,90,862
