instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
4984,0,0,5,1,0.15,0.51,0.14,0.29,255,590,1
11427,2,1,4,7,0.46,0.4545,0.82,0.3582,3,225,0
7305,1,2,2,16,1.03,0.97,0.71,0.38,144,242,1
4432,3,0,7,13,0.78,0.7576,0.66,0.2836,54,229,0
3400,2,0,5,13,0.82,0.7727,0.52,0.2836,52,197,0
6051,3,0,9,16,0.76,0.697,0.52,0.2836,36,277,0
12467,2,1,6,15,0.76,0.6667,0.29,0.2836,98,397,0
1288,2,0,0,23,0.79,0.52,0.0,0.75,51,988,1
4347,3,0,7,0,0.7,0.6515,0.65,0.1642,19,55,0
8379,4,0,12,18,0.38,0.3939,0.66,0.194,26,411,0
10087,1,0,12,13,0.79,0.7,0.57,0.81,333,839,1
1572,1,0,3,22,0.34,0.3333,0,0.1343,4,34,0
12041,5,1,5,9,0.89,0.45,0.4,0.79,352,431,1
10902,4,1,3,15,0.49,0.3,0.9,0.78,255,579,1
7278,4,0,11,20,0.36,0.3333,0.43,0.2836,15,186,0
15007,5,0,2,21,0.89,0.23,0.58,0.34,78,660,1
3195,0,0,6,21,0.63,0.69,0.45,0.65,77,633,1
3892,1,0,8,0,0.9,0.89,0.68,0.69,49,100,1
8187,4,0,12,18,0.3,0.3182,0.56,0.0896,8,357,0
4443,3,0,7,0,0.66,0.6061,0.83,0.1343,31,121,0
7941,5,2,4,15,0.78,0.09,0.66,0.07,170,468,1
14685,3,1,9,1,0.56,0.5303,0.73,0.2239,20,124,0
16054,4,1,11,14,0.36,0.3636,0.4,0.1045,44,240,0
12957,1,2,3,20,0.98,0.74,0.39,0.37,216,248,1
11499,3,1,2,24,0.35,0.81,0.29,0.54,179,562,1
14635,3,1,9,23,0.64,0.5758,0.89,0.1642,19,169,0
12658,2,1,6,14,0.72,0.6515,0.37,0.2239,264,573,0
10898,0,0,13,18,1.02,0.28,0.47,0.21,156,680,1
17136,5,2,8,3,0.18,0.56,0.02,0.04,126,592,1
16836,5,0,8,9,1.05,0.07,0.1,0.8,155,966,1
10950,2,1,4,9,0.34,0.303,0.42,0.3284,58,376,0
488,1,0,1,9,0.04,0.0303,0.41,0.2537,3,40,0
11779,0,2,9,17,1.01,0.75,0.01,0.76,170,243,1
16749,4,1,12,15,0.48,0.4697,0.33,0.2836,20,285,0
15450,4,1,10,22,0.46,0.4545,0.55,0.2985,27,197,0
5944,3,0,9,4,0.58,0.5455,0.94,0.0896,3,7,0
2226,2,0,4,14,0.56,0.5303,0.43,0.0896,46,157,0
17215,0,0,11,5,0.69,0.15,0.42,0.24,272,349,1
17044,4,1,12,22,0.42,0.4242,0.94,0.1343,5,54,0
5020,3,0,8,1,0.66,0.6212,0.74,0.1045,4,12,0
5612,0,2,12,23,0.68,0.52,0.32,0.16,280,350,1
13586,0,1,6,5,0.77,0.26,0.29,0.11,226,859,1
10351,0,1,12,24,0.61,0.98,0.27,0.01,299,451,1
9863,3,0,13,4,0.78,0.53,0.47,0.01,162,468,1
7916,4,0,12,11,0.34,0.3182,0.49,0.2537,7,102,0
12759,2,1,6,19,0.88,0.7879,0.37,0.2537,90,539,0
5030,1,0,6,25,0.78,1.05,0.37,0.83,183,263,1
8970,1,1,1,14,0.24,0.2121,0.41,0.2985,52,231,0
2036,2,0,3,16,0.28,0.2727,0.87,0.2537,0,36,0
8218,4,0,12,1,0.26,0.303,0.75,0,0,8,0
9055,1,1,1,4,0.34,0.2879,0.46,0.5224,0,1,0
6668,4,0,10,9,0.54,0.5152,0.77,0,58,219,0
9187,1,1,1,16,0.24,0.2424,0.93,0.1642,14,122,0
15438,4,1,10,10,0.56,0.5303,0.52,0.2985,27,217,0
