instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_1
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,12
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,33
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,18
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,72
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,89
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,74
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,1
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,7
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,15
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,27
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,58
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,79
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,99
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,33
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,58
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,43
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,32
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,32
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,77
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,30
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,65
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,75
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,68
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,67
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,89
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,60
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,30
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,74
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,66
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,47
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,36
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,96
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,29
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,90
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,35
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,59
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,73
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,51
