instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_5,feature_y_5,feature_y_5,feature_y_5,feature_y_5
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,70,4096.0,0.5637325966004665,0.803990613485849,285
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,75,64000.0,1.633404121532299,0.8650536966106134,281
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,71,32768.0,0.5125433048899948,0.37293782932771496,271
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,91,2197.0,0.9041693413125955,0.5176150567422252,144
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,10,1.0,2.193083986739962,0.5403023058681398,5
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,79,1.0,1.798925688187395,0.5403023058681398,33
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,25,8.0,1.1525407907094694,0.14550003380861354,179
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,69,27.0,1.129668825806919,0.2921388087338362,328
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,28,512.0,0.7868403851802712,0.996833390848202,26
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,49,2744.0,21.622861843277043,0.18019324711435455,178
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,13,46656.0,0.7041425227235925,0.9785486907389197,304
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,97,175616.0,0.7248437158702044,0.5647514096712039,124
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,89,592704.0,0.5376143475480764,0.13399521291272173,488
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,57,830584.0,0.696298942266857,0.9524963446376412,341
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,90,1191016.0,0.5279840346175494,0.8648663418760141,411
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,52,1331000.0,0.503365605112174,0.12997395763495997,66
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,57,804357.0,0.696298942266857,0.7806682917959753,219
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,16,300763.0,1.4043036899381962,0.8706451185026877,136
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,33,42875.0,0.500022035944306,0.11401167733032609,350
