instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2,feature3
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,78,502,136
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,71,833,19
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,18,689,180
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,88,885,21
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,63,853,69
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,85,946,185
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,83,833,127
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,61,645,33
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,6,561,140
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,19,820,231
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,34,600,197
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,82,864,195
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,49,923,160
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,50,555,244
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,41,919,41
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,73,854,247
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,67,845,182
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,48,816,228
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,85,517,209
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,38,664,160
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,0,709,209
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,100,950,193
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,67,889,234
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,19,718,237
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,82,748,87
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,50,567,245
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,42,833,47
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,7,846,38
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,10,577,153
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,64,620,136
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,4,993,26
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,72,880,71
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,76,812,59
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,49,705,238
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,99,841,17
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,88,877,187
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,100,536,175
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,81,578,127
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,92,632,44
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,68,650,199
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,5,665,241
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,10,945,15
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,18,784,102
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,82,665,178
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,50,892,188
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,92,560,196
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,4,507,119
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,91,660,134
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,53,549,218
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,97,541,248
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,92,974,217
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,54,731,0
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,94,955,111
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,0,832,155
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,48,656,90
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,70,575,232
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,56,690,86
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,0,594,16
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,5,622,180
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,88,808,23
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,4,779,212
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,45,725,112
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,46,659,183
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,85,809,223
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,94,854,192
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,59,780,155
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,58,586,154
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,54,933,90
