instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
17771,1,0,3,25,0.93,0.38,0.87,0.86,221,502,1
10462,1,1,3,0,0.44,0.4394,0.94,0.0896,13,100,0
6504,0,2,5,14,0.1,0.43,0.21,0.88,55,626,1
3130,2,1,5,6,0.46,0.4,0.45,0.47,264,180,1
6919,4,0,10,21,0.44,0.4394,0.51,0.2985,16,165,0
6083,3,0,9,0,0.42,0.4242,0.71,0.2239,5,48,0
15195,4,1,9,7,0.44,0.4394,0.77,0,14,57,0
2198,2,0,4,10,0.4,0.4091,0.37,0.3881,21,69,0
8182,0,2,11,6,0.36,1.02,1.02,0.36,72,59,1
13316,4,0,4,20,0.63,0.77,1.05,0.16,377,875,1
5470,0,0,9,25,0.18,0.08,0.79,0.74,343,605,1
2679,2,0,4,12,0.7,0.6515,0.61,0.4179,40,186,0
5922,3,0,9,6,0.62,0.5152,1,0.1343,3,57,0
17274,0,0,6,19,0.11,0.6,0.45,0.81,19,498,1
12308,2,1,6,0,0.56,0.5303,0.83,0.1343,5,86,0
1944,2,0,3,18,0.32,0.3182,0.21,0.1642,64,153,0
1690,1,0,3,0,0.3,0.2879,0.93,0.2537,0,8,0
3041,2,0,5,14,0.62,0.6212,0.53,0.0896,36,177,0
3229,4,1,12,5,0.26,0.14,0.01,0.53,26,1001,1
2397,2,0,4,18,0.56,0.5303,0.3,0,47,337,0
4865,3,0,7,14,0.86,0.7424,0.3,0.2836,46,147,0
7399,4,0,11,21,0.4,0.4091,0.87,0,9,161,0
5650,4,2,10,0,0.34,0.96,0.82,0.12,250,251,1
14780,3,2,2,13,0.56,0.52,0.2,0.28,66,734,1
15427,4,1,10,23,0.48,0.4697,0.77,0.0896,8,84,0
4511,2,2,3,14,0.28,0.54,0.76,0.01,177,806,1
6018,3,0,9,7,0.58,0.5455,0.83,0.0896,14,362,0
3059,2,0,5,8,0.48,0.4697,0.82,0.194,27,421,0
16440,4,0,12,24,0.97,0.28,0.66,0.56,53,164,1
15782,3,2,13,23,0.09,0.19,0.1,0.57,230,904,1
6219,3,0,9,16,0.66,0.6212,0.74,0.1045,51,281,0
16702,3,1,3,1,0.05,0.09,0.76,0.43,228,12,1
10204,5,2,11,8,0.36,0.61,0.69,0.5,370,188,1
851,1,0,2,21,0.32,0.3485,0.7,0,3,78,0
6962,4,0,10,16,0.5,0.4848,0.45,0.194,169,359,0
3646,2,0,6,19,0.68,0.6364,0.65,0.1642,108,357,0
10387,1,1,3,21,0.58,0.5455,0.56,0.1045,44,244,0
6653,4,0,10,18,0.64,0.6212,0.5,0.1045,186,414,0
3841,2,0,6,22,0.62,0.6212,0.46,0.2239,20,134,0
10853,4,2,2,5,0.53,0.76,0.66,0.54,97,184,1
1380,1,1,6,12,0.39,0.16,0.02,0.01,56,909,1
9791,1,1,2,21,0.38,0.3939,0.37,0.194,15,129,0
16076,2,2,3,19,0.36,0.7,0.08,0.43,386,606,1
2172,2,0,4,8,0.38,0.3939,0.87,0.5821,9,157,0
10575,2,1,3,17,0.6,0.5909,0.69,0.0896,113,729,0
7384,4,0,11,6,0.3,0.3333,0.87,0,0,98,0
