instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
10893,2,1,4,0,0.48,0.4697,0.48,0,18,41,0
14872,4,1,11,23,0.9,0.22,0.34,0.21,96,514,1
15635,4,1,10,15,0.6,0.6061,0.6,0.194,69,353,0
10251,1,1,3,4,0.44,0.4394,0.72,0.2836,0,2,0
11570,5,2,1,16,0.06,0.88,0.5,0.19,256,229,1
3015,2,0,5,12,0.6,0.6212,0.38,0,47,217,0
9142,1,1,1,19,0.18,0.1515,0.8,0.3881,0,85,0
12612,4,2,3,21,0.22,0.47,0.37,0.82,95,369,1
11788,2,1,5,8,0.46,0.4545,0.44,0.2537,41,620,0
4564,3,0,7,1,0.66,0.6212,0.61,0.2537,4,25,0
16908,4,1,12,6,0.26,0.2424,0.6,0.2537,2,128,0
10964,2,1,4,23,0.42,0.4242,0.3,0.2836,21,113,0
17364,1,1,12,8,0.14,0.1515,0.69,0.1343,9,196,0
17923,4,1,12,15,0.98,0.75,0.43,0.13,24,303,1
2229,2,0,4,17,0.52,0.5,0.52,0.2836,63,343,0
16889,1,2,10,25,0.47,0.85,0.34,0.68,166,320,1
4472,3,0,7,5,0.66,0.6212,0.74,0,7,17,0
10118,1,1,3,15,0.42,0.4242,0.5,0.2985,5,78,0
9207,2,1,4,2,0.39,0.34,0.86,0.48,164,100,1
9227,1,0,3,25,0.47,0.64,0.71,0.68,274,226,1
100,3,1,9,7,0.5,0.01,0.1,0.08,351,665,1
16715,4,1,12,5,0.44,0.4394,0.88,0,1,46,0
16624,3,1,2,6,0.15,0.58,0.26,0.48,191,44,1
12690,1,1,13,14,0.69,0.0,0.6,0.6,360,699,1
13986,1,0,8,1,0.46,0.02,0.35,0.55,241,83,1
8946,1,1,1,14,0.26,0.2121,0.33,0.5522,10,129,0
3827,2,0,6,8,0.58,0.5455,0.49,0.4478,44,476,0
2234,2,0,4,22,0.4,0.4091,0.76,0.194,18,81,0
1916,2,0,3,14,0.36,0.3333,0.32,0.3284,30,133,0
5435,3,0,8,8,0.66,0.6061,0.83,0,30,398,0
7936,4,0,12,7,0.22,0.2576,0.87,0.0896,6,205,0
8207,4,2,10,23,0.71,0.76,0.02,0.86,146,988,1
2389,2,0,4,10,0.5,0.4848,0.51,0.194,21,89,0
15949,1,1,0,20,0.66,0.68,0.98,0.16,330,140,1
7119,4,0,10,5,0.26,0.2273,0.93,0.3582,0,1,0
10668,2,2,1,6,0.72,0.46,0.77,0.21,165,151,1
11323,2,1,4,23,0.46,0.4545,0.82,0.2836,18,91,0
17035,4,1,12,13,0.4,0.4091,0.87,0.1343,16,210,0
2352,2,0,4,21,0.42,0.4242,0.82,0.194,10,84,0
16391,4,1,11,16,0.42,0.4242,0.62,0.0896,60,395,0
2115,2,2,1,2,0.81,0.89,0.69,0.34,31,829,1
9553,1,2,1,23,0.98,0.44,0.22,0.34,144,721,1
14660,3,1,9,0,0.66,0.5909,0.89,0.2537,20,150,0
4367,2,2,7,1,1.02,1.0,0.17,0.42,286,328,1
11511,2,1,4,19,0.56,0.5303,0.35,0.1343,128,375,0
12728,2,1,6,12,0.7,0.6515,0.65,0.0896,70,292,0
