instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
4134,3,0,6,3,0.6,0.6061,0.64,0.1045,12,34,0
6927,4,0,10,5,0.34,0.3333,0.76,0.194,0,31,0
12378,2,1,6,22,0.56,0.5303,0.52,0.2836,41,168,0
16888,4,1,12,10,0.36,0.3333,0.57,0.3284,12,154,0
10800,2,1,3,2,0.42,0.4242,0.77,0.2537,14,69,0
13235,3,1,7,15,0.8,0.7121,0.41,0.2239,77,265,0
2538,2,0,4,15,0.76,0.6667,0.35,0.3582,32,145,0
1776,1,0,3,16,0.5,0.4848,0.31,0.3881,175,304,0
12576,2,1,6,4,0.6,0.5606,0.83,0.1343,1,10,0
5133,3,0,8,18,0.72,0.697,0.79,0.4478,81,211,0
7733,4,0,11,19,0.38,0.3939,0.58,0.3881,6,122,0
7613,4,0,11,19,0.28,0.2727,0.41,0.1642,7,190,0
10009,2,2,5,6,0.75,0.62,0.67,0.1,210,958,1
3305,2,0,5,14,0.62,0.6061,0.69,0.194,125,316,0
6610,3,2,9,4,0.87,0.01,0.1,0.45,202,881,1
6406,4,0,9,11,0.62,0.6061,0.61,0.194,36,158,0
1657,2,2,12,15,0.13,0.5,0.62,0.54,171,3,1
4214,0,0,12,16,0.11,0.81,0.76,0.76,308,878,1
9691,1,1,2,17,0.36,0.3485,0.23,0.194,8,407,0
7360,4,0,11,6,0.3,0.3333,0.87,0,3,99,0
10340,1,1,3,22,0.4,0.4091,0.54,0.194,13,94,0
5746,3,0,9,20,0.66,0.6212,0.61,0.2239,33,280,0
15528,4,1,10,4,0.42,0.4242,0.77,0.2836,2,12,0
14942,3,1,9,18,0.58,0.5455,0.4,0.2836,85,892,0
2453,2,0,4,2,0.4,0.4091,0.62,0.194,4,29,0
15649,4,1,10,5,0.54,0.5152,0.88,0,1,36,0
15678,4,1,10,10,0.52,0.5,0.52,0.1343,111,423,0
13606,3,1,7,2,0.66,0.6212,0.69,0.2537,5,21,0
11315,2,1,4,15,0.72,0.6515,0.39,0.2537,267,628,0
16810,4,1,12,4,0.36,0.3788,0.93,0,3,12,0
11282,2,1,4,6,0.42,0.4242,0.88,0,8,113,0
10204,1,1,3,5,0.18,0.1818,0.51,0.2239,0,25,0
10131,1,1,3,4,0.36,0.3485,0.93,0.194,0,2,0
1777,1,0,3,17,0.48,0.4697,0.31,0.3284,138,278,0
722,3,2,7,7,0.72,0.66,0.67,0.14,26,902,1
2430,2,0,4,3,0.36,0.3485,0.87,0.1642,5,14,0
12452,2,1,6,0,0.56,0.5303,0.56,0.1642,18,77,0
11950,2,1,5,2,0.48,0.4697,0.67,0.1343,12,21,0
3077,2,0,5,2,0.5,0.4848,0.88,0.1343,3,11,0
13226,3,1,7,6,0.68,0.6364,0.79,0.1045,4,187,0
867,1,0,2,13,0.24,0.197,0.32,0.4478,2,50,0
14634,3,1,9,22,0.64,0.5758,0.89,0.1642,24,217,0
6497,4,0,10,6,0.36,0.3788,0.71,0,3,94,0
9991,1,1,2,7,0.2,0.1818,0.51,0.2985,2,22,0
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,0
16890,4,1,12,12,0.36,0.3182,0.53,0.4478,13,226,0
11611,2,1,5,23,0.6,0.5606,0.83,0,21,121,0
1774,1,0,0,22,0.21,0.05,0.04,0.01,345,94,1
11671,2,1,5,11,0.56,0.5303,0.73,0.1045,144,414,0
12120,2,1,5,4,0.62,0.5606,0.88,0,3,9,0
6446,4,0,10,3,0.46,0.4545,0.59,0.4179,8,25,0
1821,2,0,3,14,0.54,0.5152,0.64,0.2239,36,101,0
6960,1,0,11,4,0.89,0.3,0.42,0.05,335,609,1
13467,3,1,7,7,0.66,0.5909,0.89,0.194,14,360,0
9015,1,1,1,11,0.16,0.1515,0.59,0.2537,21,179,0
16625,4,1,11,11,0.34,0.3485,0.53,0.0896,31,201,0
14141,3,1,8,9,0.7,0.2424,0.58,0.1045,58,378,0
4307,3,0,7,8,0.68,0.6364,0.79,0.2239,39,92,0
13829,3,1,8,9,0.78,0.7576,0.65,0.2239,61,278,0
14379,3,1,8,7,0.66,0.6061,0.83,0,15,433,0
6953,4,0,10,7,0.36,0.3636,0.76,0.1045,8,57,0
13835,3,1,8,15,0.88,0.8182,0.42,0.4179,205,489,0
2564,2,0,4,17,0.5,0.4848,0.29,0.1642,79,481,0
11042,2,1,4,5,0.34,0.3333,0.71,0.1343,0,24,0
8356,4,0,12,19,0.36,0.3485,0.53,0.1642,17,251,0
10808,2,1,3,10,0.4,0.4091,0.76,0.1343,108,313,0
5276,0,0,8,5,0.89,0.5,0.53,0.65,188,288,1
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,0
14175,3,1,8,19,0.7,0.6364,0.45,0.1642,164,488,0
16673,4,1,12,11,0.32,0.3182,0.81,0.1642,81,355,0
15684,4,1,10,16,0.54,0.5152,0.42,0.2836,325,691,0
2228,2,0,4,16,0.6,0.6212,0.35,0,52,213,0
431,1,0,1,23,0.3,0.2727,0.52,0.4627,1,28,0
14741,3,1,9,9,0.6,0.6212,0.49,0,35,358,0
9546,1,1,2,16,0.44,0.4394,0.35,0.2537,19,276,0
2498,2,0,4,23,0.5,0.4848,0.59,0.2537,11,46,0
10018,0,1,3,10,0.82,0.15,0.16,0.16,302,503,1
2887,2,0,5,4,0.34,0.3182,0.66,0.2537,4,7,0
12226,2,1,5,14,0.82,0.7727,0.52,0.4179,80,238,0
7754,4,0,11,16,0.5,0.4848,0.34,0.2836,48,114,0
14843,3,1,9,15,0.68,0.6364,0.34,0.2836,312,654,0
12092,2,1,5,0,0.6,0.5606,0.83,0.0896,7,56,0
10369,1,1,3,3,0.52,0.5,0.72,0.2985,0,2,0
5690,3,0,8,12,0.72,0.6515,0.37,0,65,237,0
10967,2,1,4,2,0.36,0.3333,0.29,0.3582,11,36,0
6262,4,0,9,11,0.62,0.5152,1,0.1045,1,21,0
17073,4,1,12,3,0.26,0.2727,0.75,0.1343,0,5,0
15125,4,1,9,9,0.66,0.6212,0.65,0,30,335,0
8041,4,0,12,16,0.46,0.4545,1,0.2537,4,88,0
4960,3,0,7,13,0.88,0.7576,0.29,0,125,308,0
13039,5,0,0,3,0.72,0.98,0.58,0.56,327,974,1
14839,3,1,9,11,0.64,0.6212,0.38,0.3881,228,627,0
7292,4,0,11,10,0.32,0.303,0.53,0.2537,56,227,0
14922,3,1,9,22,0.58,0.5455,0.83,0.4627,14,151,0
10530,1,1,3,20,0.6,0.6061,0.64,0.2239,34,330,0
15331,4,1,10,23,0.58,0.5455,0.78,0.2239,23,171,0
10014,1,1,2,6,0.24,0.2273,0.7,0.2537,1,90,0
5436,3,0,8,9,0.7,0.6515,0.65,0.1343,31,218,0
16941,4,1,12,15,0.36,0.3485,0.34,0.1343,40,280,0
11719,2,1,5,11,0.6,0.6061,0.64,0.3881,60,217,0
4033,3,0,6,22,0.7,0.6667,0.79,0.1045,12,109,0
11736,2,1,5,4,0.56,0.5303,0.88,0.2239,0,5,0
