instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,69
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,30
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,14
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,74
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,87
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,84
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,48
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,22
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,53
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,94
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,44
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,35
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,78
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,4
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,38
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,50
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,6
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,36
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,97
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,95
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,76
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,61
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,70
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,53
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,76
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,71
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,84
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,87
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,80
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,21
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,54
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,78
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,80
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,61
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,36
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,60
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,41
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,83
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,1
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,31
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,86
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,78
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,82
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,17
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,92
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,36
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,85
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,39
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,46
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,65
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,81
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,9
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,73
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,26
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,49
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,63
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,82
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,71
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,72
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,86
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,99
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,51
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,53
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,2
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,87
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,68
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,70
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,57
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,0
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,33
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,5
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,100
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,63
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,17
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,51
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,60
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,89
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,88
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,57
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,99
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,89
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,24
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,11
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,15
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,45
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,8
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,100
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,24
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,94
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,26
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,59
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,95
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,13
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,6
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,5
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,90
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,27
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,4
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,60
