instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
14753,3,1,9,21,0.56,0.5303,0.6,0.1045,28,310,0
15333,4,1,10,1,0.56,0.5303,0.83,0.2537,25,141,0
14295,3,1,8,19,0.72,0.6667,0.51,0.0896,96,633,0
11411,2,1,4,15,0.58,0.5455,0.19,0.1642,47,229,0
452,1,0,1,20,0.26,0.2424,0.6,0.2836,2,126,0
12036,2,1,5,16,0.64,0.6061,0.73,0.2537,46,315,0
3250,2,0,5,7,0.5,0.4848,0.77,0.1642,30,319,0
11051,2,1,4,14,0.54,0.5152,0.24,0.194,75,224,0
6166,3,0,9,11,0.58,0.5455,0.64,0.1642,41,139,0
15784,4,1,10,20,0.62,0.6061,0.61,0.0896,45,441,0
7341,4,0,11,11,0.42,0.4242,0.77,0.1045,28,128,0
13824,3,1,8,4,0.72,0.697,0.79,0.194,2,13,0
12669,2,1,6,1,0.56,0.5303,0.6,0.1642,21,88,0
10933,2,1,4,16,0.5,0.4848,0.31,0.194,84,402,0
8211,4,0,12,18,0.34,0.3182,0.42,0.2239,12,382,0
6197,3,0,9,18,0.6,0.5606,0.83,0.1045,39,492,0
14941,3,1,9,17,0.6,0.6212,0.38,0.2239,74,886,0
4533,3,2,4,15,0.66,0.96,0.58,0.89,127,476,1
10124,0,0,9,2,0.25,0.57,0.5,0.71,131,371,1
2088,5,2,13,0,1.01,0.05,0.48,0.59,293,701,1
10832,2,1,4,10,0.4,0.4091,0.71,0.1045,132,360,0
11228,2,1,4,0,0.54,0.5152,0.32,0.1642,3,38,0
3912,0,2,9,4,0.37,0.57,0.08,0.83,250,23,1
7833,4,0,11,23,0.48,0.4697,0.72,0.2537,5,32,0
8300,0,0,11,20,0.86,0.91,0.22,0.2,352,101,1
10671,3,0,1,3,0.99,0.27,0.48,0.6,56,154,1
3651,2,0,6,0,0.62,0.5909,0.78,0.1343,11,29,0
3598,4,0,10,2,0.38,0.16,0.07,0.64,103,604,1
1814,2,0,3,7,0.3,0.2727,0.87,0.4179,3,18,0
11522,2,1,4,6,0.4,0.4091,0.47,0.194,2,123,0
14595,3,1,9,7,0.7,0.6667,0.79,0.2537,11,500,0
15307,1,1,8,19,0.52,0.03,0.93,0.13,323,99,1
11748,2,1,5,16,0.66,0.6212,0.5,0.194,68,357,0
6671,5,1,11,21,0.45,0.06,0.41,0.3,96,979,1
479,5,2,4,3,0.43,0.64,0.72,0.39,242,562,1
11234,4,1,11,8,0.77,0.39,0.63,0.5,183,853,1
9797,5,1,12,18,0.24,0.01,0.14,0.82,255,178,1
15870,3,2,11,23,0.32,0.97,0.37,0.33,36,121,1
377,2,0,6,17,0.88,0.84,0.9,0.14,62,892,1
16280,4,1,11,1,0.3,0.3182,0.65,0.0896,5,21,0
1085,1,0,2,22,0.5,0.4848,0.59,0.2836,8,76,0
5614,3,0,8,19,0.72,0.697,0.79,0.1045,55,290,0
12419,2,1,6,15,0.64,0.6212,0.38,0,75,300,0
8072,4,0,12,23,0.24,0.2121,0.93,0.3881,0,16,0
10931,2,1,4,14,0.46,0.4545,0.33,0.1642,143,287,0
10116,0,1,1,9,0.42,0.32,0.22,0.08,155,596,1
10610,1,0,0,23,0.43,0.47,0.31,0.23,191,759,1
15194,5,1,8,0,0.84,0.35,0.09,0.29,385,592,1
17850,5,1,10,15,0.13,0.01,0.91,0.47,73,668,1
15870,4,1,10,10,0.48,0.4697,0.51,0.4179,120,434,0
