instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
12353,2,1,6,21,0.62,0.6212,0.43,0.1642,66,246,0
6496,4,0,10,5,0.36,0.3636,0.76,0.1045,4,21,0
12918,3,1,6,10,0.7,0.6364,0.37,0.2537,34,172,0
6363,4,0,9,16,0.66,0.6061,0.83,0.194,33,258,0
955,1,0,2,9,0.16,0.1818,0.64,0.1343,5,43,0
11393,2,1,4,21,0.46,0.4545,0.28,0.1642,13,226,0
2626,0,1,9,11,0.89,0.02,0.81,0.69,55,805,1
5786,3,0,9,12,0.7,0.6515,0.61,0.2239,97,257,0
796,1,0,2,14,0.22,0.2727,1,0,5,55,0
11529,2,1,4,13,0.48,0.4697,0.51,0.0896,48,247,0
2259,2,0,4,23,0.3,0.2879,0.93,0.2239,4,35,0
10646,2,1,3,16,0.5,0.4848,0.94,0.2985,49,177,0
8144,0,2,11,19,0.49,0.69,0.05,0.63,278,129,1
2066,2,0,3,22,0.28,0.2727,0.93,0.2537,7,51,0
12387,2,1,6,7,0.48,0.4697,0.77,0.2985,29,569,0
9803,1,1,2,9,0.22,0.2424,0.8,0.1045,22,138,0
6264,4,0,9,13,0.6,0.5,1,0.0896,7,34,0
3128,3,0,8,2,0.33,0.48,0.36,0.16,289,679,1
11073,1,1,12,10,0.37,0.62,0.66,0.67,17,667,1
11377,2,1,4,5,0.3,0.2879,0.7,0.194,0,22,0
1599,1,0,3,2,0.24,0.2273,0.65,0.194,0,14,0
9073,1,1,1,22,0.18,0.1667,0.47,0.2537,4,78,0
4828,3,0,7,1,0.76,0.7424,0.75,0.0896,4,12,0
16094,4,1,11,7,0.28,0.2576,0.36,0.3881,12,423,0
15413,4,1,10,9,0.42,0.4242,0.77,0.2239,37,382,0
11950,2,1,5,2,0.48,0.4697,0.67,0.1343,12,21,0
11818,2,1,5,14,0.66,0.6212,0.36,0.194,257,615,0
3741,1,0,9,16,0.41,0.72,1.0,0.38,296,725,1
15067,4,1,9,23,0.46,0.4545,0.63,0.1343,11,94,0
11920,2,1,5,20,0.66,0.6212,0.65,0.2537,61,459,0
14490,3,1,8,22,0.76,0.7121,0.58,0.194,65,277,0
4406,3,0,7,11,0.82,0.7727,0.52,0.1343,30,142,0
1710,1,0,3,21,0.42,0.4242,0.58,0.2836,3,78,0
13400,4,1,3,13,0.29,0.69,0.32,0.07,131,294,1
6173,3,0,9,18,0.56,0.5303,0.68,0.1343,56,540,0
9875,1,1,2,11,0.26,0.2424,0.7,0.2836,5,86,0
4920,3,0,7,21,0.78,0.7576,0.66,0.2836,31,196,0
13385,3,1,7,21,0.76,0.7273,0.66,0.1343,45,328,0
12952,3,1,6,20,0.82,0.7273,0.34,0.194,71,470,0
2250,0,1,2,22,0.38,0.56,0.02,0.65,353,636,1
6500,4,0,10,9,0.4,0.4091,0.66,0.0896,12,153,0
8221,4,0,12,4,0.26,0.303,0.75,0,0,4,0
13144,3,1,7,20,0.86,0.7727,0.39,0.1045,91,336,0
8770,5,1,0,14,0.58,0.02,0.55,0.36,228,383,1
11882,2,1,5,6,0.56,0.5303,0.94,0.2239,2,24,0
11068,2,1,4,8,0.3,0.2879,0.49,0.2239,14,595,0
6030,3,0,9,19,0.68,0.6364,0.69,0.1642,55,396,0
13811,1,0,8,14,0.88,0.83,0.13,0.02,365,293,1
7756,4,0,11,18,0.42,0.4242,0.5,0.0896,13,37,0
4668,3,1,9,23,0.8,0.3,1.05,0.62,24,860,1
7717,4,0,11,3,0.5,0.4848,0.94,0.3582,1,3,0
13068,3,1,7,16,0.9,0.7727,0.24,0.194,90,527,0
5723,3,0,8,21,0.66,0.6212,0.61,0.0896,27,201,0
443,1,0,1,11,0.28,0.2727,0.45,0.1642,5,68,0
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,0
16020,4,1,11,4,0.3,0.2879,0.52,0.2537,5,16,0
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,0
9635,3,2,12,15,0.02,0.19,0.93,0.52,172,834,1
9940,1,1,2,4,0.4,0.4091,0.87,0.1343,0,2,0
5750,3,0,9,0,0.64,0.6061,0.65,0.194,6,64,0
13105,3,1,7,5,0.72,0.6818,0.62,0,1,29,0
15402,4,1,10,22,0.4,0.4091,0.76,0.2537,6,107,0
