instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
7679,4,0,11,13,0.5,0.4848,0.77,0.1343,13,134,0
12496,2,1,6,20,0.76,0.6667,0.35,0.2239,125,363,0
9418,1,1,2,7,0.36,0.3788,0.93,0,4,205,0
14770,4,1,4,10,0.35,0.52,0.17,0.49,245,278,1
9552,1,1,2,22,0.32,0.3182,0.57,0.194,11,118,0
12527,5,1,12,9,0.13,0.14,0.68,0.27,284,690,1
4455,0,0,6,24,0.91,0.81,0.75,0.42,173,975,1
4883,3,0,7,8,0.74,0.6667,0.42,0.2537,28,433,0
12030,2,1,5,10,0.58,0.5455,0.88,0.2836,28,99,0
13549,3,1,7,17,0.82,0.7727,0.52,0.1343,87,847,0
4280,3,0,7,5,0.58,0.5455,0.73,0.1045,1,14,0
5438,3,0,8,11,0.72,0.6818,0.66,0.0896,45,165,0
1241,1,0,2,19,0.34,0.303,0.93,0.2985,3,115,0
7476,5,0,1,25,0.61,0.13,0.62,0.39,146,262,1
14096,5,0,4,16,0.37,0.04,0.51,0.14,275,493,1
16739,4,1,12,5,0.5,0.4848,0.59,0.2836,1,49,0
15368,5,0,8,11,0.07,0.14,0.23,0.27,104,912,1
3899,2,0,6,8,0.6,0.5909,0.69,0.1343,24,388,0
1495,1,0,3,15,0.34,0.303,0.31,0.3881,32,96,0
1121,3,2,13,25,0.67,0.72,0.24,0.47,57,415,1
3363,2,2,10,10,0.93,0.0,0.21,0.28,184,106,1
3855,3,0,3,22,0.49,0.63,0.86,0.41,21,519,1
3729,5,2,6,21,0.4,0.33,0.46,0.38,199,1001,1
7379,4,0,11,1,0.34,0.3636,0.87,0,0,10,0
16570,4,1,11,3,0.26,0.2576,0.7,0.2239,0,3,0
5061,3,2,4,17,0.84,0.74,0.01,0.19,351,701,1
1743,3,1,4,9,0.18,0.27,0.78,0.37,306,817,1
10958,2,1,4,17,0.52,0.5,0.23,0.4179,172,655,0
17186,1,1,12,20,0.26,0.303,0.65,0,0,52,0
10290,4,0,13,11,0.59,0.42,0.81,0.25,88,307,1
10550,1,1,3,16,0.62,0.6061,0.66,0.2239,99,431,0
13828,2,1,9,0,0.69,0.3,0.71,0.17,74,214,1
8464,1,0,12,7,0.3,0.2727,0.7,0.3582,0,10,0
213,1,2,2,5,0.14,0.59,0.19,0.88,222,265,1
12890,3,1,6,6,0.52,0.5,0.52,0.2985,12,188,0
741,1,0,2,6,0.16,0.1364,0.43,0.3582,0,39,0
14412,3,1,8,16,0.82,0.7121,0.33,0.3284,84,480,0
15784,4,1,10,20,0.62,0.6061,0.61,0.0896,45,441,0
16989,4,2,3,18,0.37,0.02,0.26,0.51,208,16,1
5274,3,0,8,15,0.8,0.697,0.29,0.1642,59,249,0
3185,1,1,6,5,0.56,0.8,0.54,0.14,302,154,1
204,4,0,6,11,0.41,0.84,0.42,0.34,303,39,1
16953,4,1,12,3,0.2,0.2273,0.69,0.1045,0,12,0
7377,4,0,11,23,0.36,0.3788,0.81,0,3,48,0
1590,1,0,3,17,0.34,0.3182,0.49,0.2239,23,223,0
4531,0,1,4,0,0.68,0.32,0.0,0.85,148,217,1
8921,1,1,1,13,0.42,0.4242,0.77,0.1642,13,183,0
9525,1,1,2,19,0.36,0.3333,0.43,0.2537,7,291,0
16600,4,1,11,10,0.28,0.303,0.65,0.0896,25,178,0
9262,1,1,1,19,0.4,0.4091,0.76,0.1045,11,313,0
13656,3,1,7,4,0.7,0.6667,0.79,0.194,1,11,0
12033,0,0,12,15,0.4,0.98,1.05,0.1,83,351,1
12347,2,1,6,15,0.7,0.6364,0.34,0,236,644,0
12022,2,1,5,2,0.56,0.5303,0.94,0.2537,2,11,0
3683,4,1,2,25,0.42,0.84,0.79,0.44,386,822,1
6387,4,0,9,16,0.7,0.6515,0.7,0.194,39,280,0
9357,1,1,1,18,0.34,0.3333,0.23,0.1642,11,410,0
10111,3,2,9,23,0.18,0.42,0.54,0.86,184,326,1
16725,4,1,12,15,0.6,0.6212,0.49,0.2537,56,300,0
3946,2,0,6,7,0.64,0.5909,0.78,0.1343,12,57,0
8366,4,0,12,5,0.36,0.3788,0.57,0,0,15,0
13256,5,0,5,0,1.04,0.26,0.46,0.1,312,574,1
14474,3,1,8,6,0.64,0.5758,0.89,0.1642,7,108,0
16499,4,1,11,4,0.22,0.2727,0.44,0,1,2,0
11074,4,2,6,3,0.73,0.5,0.35,0.38,217,268,1
7998,4,0,12,21,0.36,0.3636,0.81,0.1045,7,72,0
13876,3,1,8,8,0.7,0.6667,0.79,0,27,605,0
14032,3,1,8,20,0.72,0.6515,0.45,0,96,300,0
9281,4,0,4,3,0.69,0.65,0.72,0.29,161,349,1
1268,1,0,2,23,0.26,0.2273,0.48,0.3284,2,39,0
16947,4,1,12,21,0.28,0.3182,0.48,0,13,213,0
8653,2,2,10,23,0.68,0.7,0.65,0.86,195,188,1
5533,3,0,8,10,0.7,0.6364,0.37,0,56,148,0
8560,1,0,12,10,0.34,0.3182,0.57,0.2239,12,96,0
12830,3,1,6,18,0.82,0.7121,0.26,0.2985,194,481,0
13601,3,1,7,21,0.72,0.6515,0.45,0.1343,71,397,0
4181,3,0,6,2,0.66,0.6212,0.74,0,2,11,0
9480,1,1,2,21,0.24,0.2424,0.93,0.1343,4,78,0
4336,3,0,7,13,0.78,0.7121,0.49,0,242,423,0
15569,4,1,10,21,0.52,0.5,0.59,0.3284,16,206,0
8254,4,0,12,13,0.5,0.4848,0.55,0.3582,14,164,0
