instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
6569,3,1,1,2,0.08,0.8,0.85,0.56,93,56,1
9726,3,2,8,19,0.69,0.88,0.76,0.79,51,438,1
16116,4,1,11,5,0.3,0.2879,0.56,0.194,2,27,0
11094,2,1,4,10,0.4,0.4091,0.5,0.2985,38,141,0
661,1,0,1,20,0.26,0.2727,0.65,0.1045,3,33,0
11233,2,0,3,20,0.78,0.27,0.74,0.62,111,436,1
5706,3,0,8,4,0.56,0.5303,0.73,0,0,5,0
6990,2,0,2,0,0.47,0.59,0.28,0.36,210,192,1
3234,2,0,5,15,0.56,0.5303,0.78,0.1642,63,188,0
9078,1,1,1,3,0.12,0.1515,0.54,0.1045,0,4,0
10059,1,1,2,3,0.28,0.303,0.7,0.0896,0,2,0
15112,4,1,9,20,0.66,0.6212,0.69,0.194,45,434,0
9141,1,1,1,18,0.2,0.1818,0.75,0.3881,3,110,0
7104,3,2,4,19,0.42,0.7,0.96,0.15,350,823,1
16168,4,1,11,9,0.36,0.3788,0.77,0,94,273,0
13556,3,1,7,0,0.7,0.6667,0.74,0.1343,12,64,0
5033,3,2,0,10,0.33,0.06,0.46,0.81,362,303,1
17169,1,1,12,3,0.2,0.2121,0.51,0.1343,0,9,0
14285,4,2,11,7,0.41,0.32,1.02,0.36,304,991,1
12039,2,1,5,19,0.66,0.6212,0.69,0.0896,57,448,0
15901,4,1,10,5,0.3,0.303,0.81,0.1343,0,24,0
1242,0,2,0,8,0.29,0.39,0.4,0.15,82,749,1
6229,3,0,9,2,0.6,0.5152,0.94,0.1045,2,10,0
2096,2,0,4,4,0.24,0.2424,0.7,0.1642,0,5,0
8309,4,1,5,16,1.02,0.4,0.94,0.2,380,758,1
6581,4,0,10,18,0.54,0.5152,0.64,0.0896,59,538,0
9552,1,1,2,22,0.32,0.3182,0.57,0.194,11,118,0
6912,4,0,10,14,0.48,0.4697,0.48,0.5522,38,155,0
1671,3,2,9,7,0.92,0.4,0.34,0.27,164,849,1
6438,4,0,9,19,0.54,0.5152,0.52,0.2836,42,374,0
12558,1,1,12,22,0.56,0.05,0.61,0.41,286,85,1
8246,4,0,12,5,0.32,0.303,0.7,0.2836,0,24,0
14423,3,1,8,3,0.62,0.5909,0.73,0.1045,0,9,0
3248,2,0,5,5,0.44,0.4394,0.94,0.1045,0,28,0
18121,2,0,7,16,0.33,0.36,0.12,0.45,17,888,1
10586,2,1,3,4,0.48,0.4697,1,0.0896,0,6,0
5057,3,0,8,14,0.76,0.7121,0.58,0.2239,43,147,0
3644,5,0,2,4,1.01,0.72,0.41,0.81,117,740,1
1730,5,0,7,25,0.63,0.13,0.18,0.37,300,278,1
6828,4,0,10,1,0.56,0.5303,0.54,0.3881,2,17,0
1272,1,0,2,3,0.22,0.2273,0.55,0.1343,1,8,0
14651,3,1,9,15,0.8,0.7576,0.55,0.2537,66,331,0
9295,1,1,1,4,0.26,0.2576,0.6,0.1642,0,8,0
14051,3,1,8,15,0.82,0.7273,0.34,0.2239,80,274,0
286,1,0,1,8,0.14,0.1364,0.5,0.194,5,202,0
571,1,0,1,23,0.22,0.2273,0.64,0.1642,3,40,0
15977,4,1,11,9,0.34,0.303,0.49,0.2985,31,219,0
13657,3,1,7,5,0.68,0.6364,0.79,0.1642,4,14,0
1097,1,0,2,10,0.44,0.4394,0.72,0.2239,17,95,0
3249,2,0,5,6,0.46,0.4545,0.88,0.1045,15,117,0
1881,2,0,3,3,0.28,0.2727,1,0.194,1,1,0
5877,3,0,9,8,0.62,0.5455,0.94,0.0896,9,328,0
4205,1,2,10,3,0.68,0.36,0.42,0.05,215,943,1
15994,4,1,11,2,0.3,0.3333,0.65,0,6,37,0
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,0
3740,2,2,6,9,0.66,0.13,0.36,0.46,148,128,1
5322,3,0,8,15,0.74,0.697,0.66,0.194,128,331,0
4354,4,1,0,17,0.54,0.9,0.64,0.67,60,494,1
12340,4,0,12,20,0.24,0.37,0.81,0.68,109,670,1
15319,4,1,10,11,0.7,0.6515,0.48,0.194,90,304,0
619,1,0,1,0,0.22,0.197,0.64,0.3582,2,28,0
17789,3,2,12,25,0.6,0.03,0.45,0.74,155,258,1
927,1,0,2,5,0.08,0.1212,0.63,0.0896,0,4,0
10424,1,1,3,10,0.52,0.5,0.68,0.1045,34,164,0
5494,1,0,9,3,0.26,0.72,0.22,0.3,240,852,1
7464,4,0,11,14,0.5,0.4848,0.36,0.2985,191,435,0
9823,2,1,11,17,1.01,0.31,1.04,0.1,43,490,1
8368,2,2,6,10,0.28,0.33,0.99,0.5,264,444,1
4824,3,0,7,21,0.8,0.7879,0.63,0.1343,42,153,0
11532,2,1,4,16,0.56,0.5303,0.6,0.194,44,347,0
1957,2,0,3,8,0.2,0.197,0.69,0.2239,6,14,0
5300,3,0,8,17,0.72,0.697,0.74,0.2537,97,269,0
12679,2,1,6,11,0.62,0.6212,0.57,0.1045,196,546,0
3535,2,0,6,4,0.68,0.6364,0.89,0.2239,0,4,0
6699,3,2,8,6,1.05,0.1,0.43,0.15,144,703,1
9167,1,1,10,23,0.33,0.86,0.48,0.89,275,531,1
14984,3,1,9,12,0.68,0.6364,0.57,0.1642,84,389,0
13294,4,1,5,25,1.01,0.47,0.79,0.36,266,165,1
5141,0,2,5,0,0.12,0.13,0.44,0.3,5,555,1
10881,3,2,1,15,0.77,0.43,0.14,0.75,226,973,1
5191,4,0,11,12,0.46,0.25,0.99,0.08,79,953,1
5663,3,0,8,9,0.62,0.6212,0.53,0.2537,22,188,0
3250,2,0,5,7,0.5,0.4848,0.77,0.1642,30,319,0
5757,3,0,9,7,0.6,0.5606,0.83,0.1045,6,259,0
8298,1,0,1,1,0.58,0.32,0.66,0.67,27,257,1
3301,2,0,5,10,0.64,0.6061,0.65,0.1343,135,305,0
17153,1,1,12,11,0.28,0.2576,0.41,0.3582,29,159,0
14557,3,1,9,17,0.74,0.697,0.7,0.1343,181,498,0
9213,1,1,1,18,0.4,0.4091,0.62,0.0896,32,423,0
9897,1,1,2,9,0.32,0.3333,0.7,0.0896,11,252,0
15585,4,1,10,13,0.52,0.5,0.45,0.2836,68,328,0
8605,1,0,12,7,0.24,0.2576,0.75,0.0896,3,95,0
10779,2,1,3,5,0.32,0.3333,0.61,0.0896,0,26,0
1552,1,0,3,0,0.34,0.3182,0,0.2537,3,3,0
16183,1,0,10,5,0.74,0.47,0.39,0.35,107,959,1
11212,2,1,4,8,0.6,0.6212,0.43,0.2239,42,673,0
5755,3,0,9,5,0.6,0.5606,0.83,0.1343,0,20,0
14189,3,1,8,9,0.66,0.6212,0.74,0,86,270,0
9964,1,1,2,4,0.3,0.2727,0.42,0.3284,0,2,0
15209,4,1,9,21,0.5,0.4848,0.68,0,19,123,0
10684,2,1,3,6,0.42,0.4242,0.82,0.194,7,117,0
8484,1,0,12,3,0.22,0.2727,0.72,0,1,4,0
13751,4,1,5,12,0.64,0.1,0.15,0.48,50,485,1
8678,1,1,1,9,0.24,0.2576,0.35,0,15,68,0
5111,3,0,8,20,0.72,0.6667,0.58,0.2239,70,291,0
1410,1,0,3,0,0.2,0.197,0.55,0.194,0,12,0
9969,4,0,11,6,0.93,0.08,0.21,0.03,378,339,1
4322,3,0,7,23,0.64,0.5758,0.83,0.1642,70,147,0
13809,3,1,8,13,0.86,0.803,0.47,0.2836,98,345,0
9535,2,1,5,11,0.43,0.72,0.06,0.7,268,759,1
7547,4,2,2,7,0.76,0.27,0.57,0.7,275,867,1
9400,1,1,2,13,0.46,0.4545,0.47,0.2239,12,186,0
14548,3,1,9,8,0.7,0.6667,0.84,0.1045,36,127,0
12841,3,1,5,1,0.97,0.63,0.41,0.34,73,79,1
5963,5,2,3,14,0.02,0.16,0.63,0.52,126,92,1
9869,4,0,6,6,0.64,0.37,0.5,0.38,262,1003,1
989,1,0,8,25,0.63,0.48,0.92,0.12,135,57,1
12729,2,1,6,13,0.74,0.6818,0.58,0.1343,69,272,0
12283,2,1,5,23,0.66,0.6212,0.54,0.2239,26,140,0
584,1,0,1,14,0.22,0.197,0.93,0.3582,0,36,0
12321,2,1,6,13,0.62,0.6212,0.41,0.2537,279,679,0
1120,1,0,2,9,0.4,0.4091,0.16,0.6567,18,55,0
14692,4,0,5,10,0.49,0.18,0.25,0.61,289,933,1
7299,4,0,11,17,0.38,0.3939,0.4,0.1642,100,334,0
4656,1,0,10,24,0.56,0.64,0.14,0.05,312,117,1
10776,2,1,3,2,0.36,0.3333,0.53,0.2985,1,7,0
2067,2,0,3,23,0.26,0.2576,1,0.1642,4,27,0
15883,4,1,10,23,0.42,0.4242,0.94,0.3582,2,14,0
2924,2,0,5,17,0.58,0.5455,0.4,0.3582,83,553,0
1900,2,0,3,22,0.26,0.2576,0.65,0.1642,3,62,0
2186,5,1,4,8,0.85,0.12,1.01,0.07,73,903,1
5072,3,0,8,5,0.68,0.6364,0.89,0,3,20,0
7145,4,0,10,7,0.24,0.2879,0.75,0,7,22,0
4112,3,0,6,5,0.62,0.6061,0.61,0.1343,6,14,0
6556,4,0,10,17,0.64,0.6212,0.47,0.2537,66,591,0
4739,3,0,7,8,0.76,0.7576,0.79,0.1642,23,381,0
12399,2,1,6,19,0.58,0.5455,0.46,0.2537,68,513,0
696,1,0,2,8,0.16,0.2273,0.93,0,3,135,0
2710,0,2,4,6,0.28,0.76,1.0,0.79,227,964,1
8787,3,2,1,3,0.56,0.2,0.54,0.45,6,236,1
17330,1,1,12,22,0.26,0.2424,0.6,0.4627,3,54,0
13729,3,1,7,5,0.66,0.6061,0.83,0.1642,5,45,0
4640,3,0,7,5,0.64,0.6061,0.69,0.2239,4,12,0
10875,4,2,12,5,0.94,0.89,0.22,0.89,271,819,1
14451,3,1,8,7,0.64,0.6061,0.73,0,31,532,0
9076,1,2,4,20,0.87,0.7,0.27,0.73,354,628,1
10612,2,1,3,6,0.5,0.4848,0.88,0,6,116,0
1101,3,2,2,22,0.7,0.27,0.62,0.1,282,153,1
7686,3,0,8,23,0.97,1.05,0.69,0.6,330,987,1
8125,4,0,12,4,0.26,0.2727,0.65,0.1045,0,3,0
15265,2,0,4,4,1.05,0.83,0.58,0.11,305,922,1
9621,3,2,2,18,0.55,0.93,0.29,0.52,5,498,1
6010,3,0,9,23,0.62,0.5758,0.83,0.1045,7,69,0
7211,4,0,11,1,0.3,0.3333,0.87,0,2,10,0
8675,1,1,1,6,0.26,0.2273,0.41,0.3881,0,14,0
11081,3,2,4,20,0.12,0.4,0.56,0.43,221,122,1
13989,3,1,8,1,0.66,0.6212,0.74,0.2239,32,116,0
17088,4,1,12,18,0.38,0.3939,0.5,0.3582,23,569,0
12637,2,1,6,17,0.74,0.6515,0.37,0.2836,125,823,0
14479,5,2,0,11,0.22,0.72,0.69,0.33,67,23,1
10724,2,1,3,22,0.36,0.3485,0.37,0.1343,7,134,0
15316,4,1,10,8,0.58,0.5455,0.64,0,36,785,0
14240,1,0,12,3,0.2,0.24,0.63,0.65,234,84,1
5528,3,0,8,5,0.54,0.5152,0.56,0.194,1,36,0
4568,3,0,7,5,0.6,0.6212,0.56,0.2239,6,28,0
4952,3,0,3,6,1.0,0.01,0.91,0.3,48,558,1
2965,2,0,5,10,0.58,0.5455,0.49,0.1343,91,244,0
