instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
7201,4,0,11,15,0.5,0.4848,0.45,0.1343,38,186,0
3494,4,0,1,6,0.34,0.39,0.5,0.85,383,505,1
10542,1,1,3,8,0.52,0.5,0.88,0.1045,28,516,0
9942,0,1,13,7,0.42,0.27,0.6,0.51,266,312,1
8191,4,0,12,22,0.26,0.303,0.7,0,0,71,0
16290,4,1,11,11,0.38,0.3939,0.43,0.2239,33,218,0
9332,1,1,1,17,0.36,0.3333,0.21,0.4179,33,234,0
10000,5,2,5,22,0.83,0.47,0.23,0.86,165,281,1
10357,1,1,3,15,0.56,0.5303,0.4,0.1343,74,233,0
12638,2,1,6,18,0.72,0.6515,0.39,0.2239,121,693,0
2874,2,0,5,15,0.48,0.4697,0.51,0.4179,22,129,0
6707,4,0,1,21,0.1,0.09,0.27,0.2,192,522,1
11529,2,1,4,13,0.48,0.4697,0.51,0.0896,48,247,0
5536,3,0,8,13,0.72,0.6515,0.3,0.1045,70,234,0
10055,4,1,1,13,0.58,0.42,0.89,0.65,377,55,1
869,4,2,11,11,0.6,0.4,0.68,0.4,358,693,1
5744,3,0,9,18,0.72,0.6667,0.54,0.2239,69,531,0
8397,4,1,11,23,0.68,0.99,0.54,0.86,16,143,1
3005,2,0,5,2,0.44,0.4394,0.58,0.1343,1,5,0
5875,3,0,9,6,0.6,0.5455,0.88,0.1045,1,75,0
7106,5,1,12,12,0.83,0.35,0.08,0.56,285,756,1
10254,4,1,8,5,0.4,1.05,0.35,0.22,62,377,1
9699,1,1,2,1,0.26,0.303,0.56,0,0,6,0
6277,4,0,9,2,0.58,0.5455,0.94,0.0896,14,68,0
12071,2,1,5,3,0.6,0.5758,0.78,0.1045,0,5,0
16331,1,0,11,9,0.45,0.42,0.03,0.1,14,52,1
17070,4,1,12,0,0.3,0.3182,0.61,0,6,41,0
15789,4,1,10,1,0.58,0.5455,0.68,0,6,28,0
18187,3,1,11,15,0.5,0.51,0.39,0.63,48,756,1
5275,3,0,8,16,0.82,0.7121,0.28,0,68,334,0
6320,4,0,9,21,0.62,0.5455,0.94,0.0896,24,137,0
8952,3,0,13,13,0.63,1.03,0.94,0.76,177,387,1
15829,4,1,10,17,0.56,0.5303,0.76,0.194,125,817,0
11754,2,1,5,22,0.48,0.4697,0.82,0.1045,5,67,0
4487,3,0,7,20,0.76,0.697,0.55,0.194,101,268,0
10794,2,1,3,20,0.4,0.4091,0.62,0.1642,17,209,0
11701,4,2,8,1,0.37,0.54,0.78,0.85,136,128,1
14864,1,2,7,17,0.19,0.12,0.79,0.82,81,907,1
17954,1,1,7,2,0.25,0.89,0.42,0.46,344,457,1
1393,1,0,3,7,0.12,0.0909,0.42,0.4179,1,111,0
10589,0,0,5,9,0.08,0.22,0.43,0.17,333,324,1
7874,0,1,3,14,1.02,0.2,0.48,0.31,108,452,1
17395,3,0,3,1,0.03,0.54,0.69,0.42,53,543,1
7129,4,0,10,15,0.22,0.2121,0.93,0.2537,3,41,0
1860,2,0,3,6,0.34,0.3182,0.87,0.2537,1,44,0
1350,1,0,3,12,0.3,0.303,0.39,0.1343,6,86,0
3540,2,0,6,9,0.74,0.7121,0.74,0.2239,34,207,0
6589,4,0,10,2,0.42,0.4242,0.88,0,0,5,0
8463,1,0,12,6,0.3,0.303,0.75,0.1642,0,10,0
15376,2,0,6,1,0.42,0.65,1.0,0.64,161,798,1
9648,1,1,2,22,0.14,0.1061,0.39,0.3881,0,46,0
14409,4,2,6,9,0.25,0.04,0.64,0.78,364,732,1
7537,4,0,11,15,0.54,0.5152,0.6,0.1343,36,191,0
18198,5,0,2,7,1.03,0.46,0.42,0.3,140,438,1
5534,3,0,8,11,0.7,0.6364,0.34,0.1045,62,186,0
10709,0,1,5,21,0.63,0.84,0.36,0.75,212,568,1
17175,1,1,12,9,0.2,0.2273,0.59,0.1045,7,56,0
6337,4,0,9,14,0.7,0.6515,0.7,0.1642,44,154,0
11978,2,1,5,6,0.44,0.4394,0.72,0.0896,12,50,0
1705,1,0,3,16,0.4,0.4091,0.76,0.1642,30,151,0
2435,2,0,4,8,0.4,0.4091,0.87,0.3582,7,45,0
6176,0,2,12,17,0.68,0.97,0.88,0.49,177,376,1
8007,3,2,8,15,0.97,0.76,0.68,0.3,154,101,1
3511,5,2,11,7,0.57,0.49,0.01,0.02,80,400,1
342,1,0,1,17,0.32,0.303,0.36,0.2836,29,83,0
8595,1,0,12,21,0.28,0.2879,0.61,0.1343,8,68,0
13489,3,1,7,5,0.58,0.5455,0.88,0.2537,7,17,0
8743,1,1,1,2,0.2,0.2273,0.51,0.0896,0,4,0
4697,3,1,3,6,0.26,0.42,0.58,0.06,303,556,1
9868,1,1,2,4,0.22,0.2727,0.64,0,0,2,0
11604,2,1,5,16,0.68,0.6364,0.57,0.1642,45,370,0
4584,3,0,7,21,0.66,0.6212,0.5,0.1343,58,261,0
7507,4,0,11,9,0.48,0.4697,0.67,0.3284,29,233,0
10689,5,0,1,3,0.28,0.84,0.73,0.02,66,695,1
15535,4,1,10,11,0.56,0.5303,0.52,0.2985,156,494,0
8768,1,1,1,3,0.22,0.2424,0.69,0.1045,1,4,0
7887,4,0,11,6,0.26,0.2727,0.87,0.1045,3,103,0
4936,3,0,7,13,0.94,0.8333,0.31,0,42,156,0
16710,5,1,4,18,0.22,1.03,0.17,0.78,364,738,1
4042,3,0,6,7,0.7,0.6667,0.79,0,23,311,0
1858,2,0,3,3,0.34,0.3182,0.76,0.2537,0,3,0
3733,5,2,7,9,0.71,1.04,0.31,0.62,341,6,1
13302,3,1,7,10,0.74,0.6667,0.48,0,78,268,0
