instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2,feature3,feature4,feature5
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,36,795,3,576,414
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,1,619,213,684,15
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,26,686,15,720,333
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,14,638,69,650,284
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,7,510,227,709,96
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,75,994,65,538,114
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,71,914,132,573,242
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,61,831,213,679,287
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,31,947,249,591,89
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,35,850,62,714,343
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,87,708,29,663,294
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,100,877,144,550,70
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,97,842,225,564,236
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,80,535,25,503,333
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,86,668,224,733,490
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,97,524,48,513,90
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,43,502,211,634,323
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,38,929,54,543,356
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,46,796,224,538,209
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,54,609,56,507,140
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,38,991,172,513,455
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,56,936,100,651,205
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,32,935,227,555,109
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,33,904,154,687,266
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,46,632,239,714,5
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,29,692,105,643,57
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,49,687,213,697,40
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,47,505,182,660,81
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,13,953,177,578,262
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,30,706,221,682,6
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,34,824,221,630,300
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,27,538,34,650,487
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,19,758,1,591,241
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,80,883,89,668,497
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,57,735,225,544,358
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,59,544,37,600,108
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,19,634,22,631,439
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,49,690,228,668,206
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,45,505,179,585,263
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,4,817,155,555,100
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,28,813,14,747,218
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,79,532,195,500,292
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,77,555,147,510,161
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,90,780,233,676,367
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,47,948,224,543,144
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,20,716,52,699,393
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,1,581,241,609,42
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,84,942,70,656,387
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,6,886,56,640,148
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,55,753,113,628,493
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,82,576,55,519,126
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,24,954,12,518,266
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,63,581,131,550,496
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,91,890,234,729,180
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,34,963,152,649,267
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,18,984,28,645,450
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,90,640,110,680,398
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,14,896,40,739,34
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,24,846,55,544,448
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,18,879,68,617,162
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,22,746,225,528,334
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,97,768,158,536,6
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,21,996,210,687,232
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,61,933,183,599,421
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,17,789,156,675,235
