instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
11724,4,2,1,14,0.78,0.72,0.1,0.44,386,253,1
12346,2,1,6,14,0.68,0.6364,0.36,0.3284,267,678,0
13849,1,2,7,18,0.71,0.2,0.78,0.49,107,219,1
16584,4,1,11,17,0.34,0.3333,0.31,0.1343,17,563,0
15466,4,1,10,14,0.52,0.5,0.32,0.0896,78,348,0
7358,4,0,11,4,0.3,0.3333,0.87,0,0,4,0
4219,3,0,6,16,0.82,0.7121,0.3,0.4179,60,328,0
8779,5,1,3,4,0.6,0.48,0.09,0.85,228,535,1
14476,3,1,8,8,0.7,0.6667,0.74,0,36,690,0
10,0,2,4,8,1.01,0.13,0.47,0.54,309,497,1
9355,4,2,12,12,0.95,0.25,0.25,0.37,265,34,1
7421,4,0,11,19,0.36,0.3485,0.71,0.2239,19,211,0
9720,1,1,2,22,0.36,0.3636,0.5,0.1045,5,77,0
3693,2,0,6,18,0.78,0.697,0.46,0.2836,72,551,0
16619,5,0,5,8,0.27,0.39,0.76,0.55,168,54,1
16269,4,1,11,14,0.38,0.3939,0.54,0.1642,27,201,0
2856,2,0,5,21,0.64,0.6212,0.61,0.4478,42,225,0
4319,2,2,7,3,0.05,0.28,1.0,0.37,315,395,1
16859,4,1,12,5,0.38,0.3939,0.94,0.1045,0,27,0
3456,2,0,5,21,0.66,0.6212,0.74,0.2985,87,201,0
5664,3,0,8,10,0.66,0.6212,0.47,0.2239,42,115,0
16081,4,1,11,17,0.32,0.2879,0.53,0.3881,16,517,0
7425,4,0,11,23,0.34,0.3333,0.57,0.1642,9,82,0
12698,2,1,6,6,0.52,0.5,0.88,0.1343,0,37,0
5229,3,0,8,18,0.82,0.7121,0.28,0.2985,70,559,0
286,1,0,12,9,0.64,0.35,1.01,0.38,353,82,1
10955,2,1,4,14,0.48,0.4697,0.29,0.3881,240,490,0
8496,1,0,12,16,0.36,0.3636,0.57,0.1045,35,86,0
7047,4,0,10,5,0.42,0.4242,0.71,0.2239,0,21,0
17094,2,2,5,25,0.9,0.74,0.87,0.84,252,24,1
3364,2,0,5,1,0.58,0.5455,0.83,0.194,6,8,0
8802,3,1,9,25,0.56,0.97,0.14,0.28,125,276,1
11748,2,1,5,16,0.66,0.6212,0.5,0.194,68,357,0
