instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_4,feature_y_4,feature_y_4,feature_y_4
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,64,4096.0,0.5208262701161901,0.803990613485849
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,29,64000.0,2.9729510585814833,0.8650536966106134
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,35,32768.0,1.7488102347630208,0.37293782932771496
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,61,2197.0,29.513995986914356,0.5176150567422252
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,71,1.0,0.5125433048899948,0.5403023058681398
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,79,1.0,1.798925688187395,0.5403023058681398
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,49,8.0,21.622861843277043,0.14550003380861354
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,95,27.0,0.5940846816900167,0.2921388087338362
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,93,512.0,19.33568064408107,0.996833390848202
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,77,2744.0,0.5001199891426975,0.18019324711435455
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,43,46656.0,5.944410581534946,0.9785486907389197
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,88,175616.0,0.9658118980490871,0.5647514096712039
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,75,592704.0,1.633404121532299,0.13399521291272173
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,35,830584.0,1.7488102347630208,0.9524963446376412
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,90,1191016.0,0.5279840346175494,0.8648663418760141
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,34,1331000.0,0.6539868700870936,0.12997395763495997
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,35,804357.0,1.7488102347630208,0.7806682917959753
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,62,300763.0,3.8340720458680737,0.8706451185026877
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,10,42875.0,2.193083986739962,0.11401167733032609
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,81,50653.0,2.7018847930632726,0.4521284271007949
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,79,46656.0,1.798925688187395,0.9785486907389197
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,35,39304.0,1.7488102347630208,0.8935123623661174
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,23,21952.0,6.50281329350808,0.1210355554669203
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,18,59319.0,4.015858573649374,0.8512229700846954
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,58,4913.0,0.5017882105819239,0.9000508174929343
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,97,4913.0,0.7248437158702044,0.9000508174929343
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,32,729.0,0.6445680044638951,0.9886955804866999
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,37,216.0,2.8053491651647224,0.7179850839697136
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,99,27.0,1260.7704250424647,0.2921388087338362
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,11,8.0,102109.07002447755,0.14550003380861354
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,85,1.0,1.213703616753761,0.5403023058681398
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,77,512.0,0.5001199891426975,0.996833390848202
