fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,feature_y_2,feature_y_2
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6,981,11,216.0
6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7,982,82,343.0
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5,983,39,125.0
6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,7,984,17,343.0
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5,985,95,125.0
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6,986,56,216.0
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6,987,70,216.0
6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6,988,91,216.0
6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,5,989,98,125.0
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8,990,33,512.0
5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5,991,58,125.0
6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,6,992,91,216.0
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,993,95,216.0
8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6,994,72,216.0
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,995,65,125.0
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,996,33,216.0
8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6,997,15,216.0
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6,998,98,216.0
7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6,999,21,216.0
7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5,1000,70,125.0
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6,1001,29,216.0
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,1002,83,125.0
6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6,1003,94,216.0
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5,1004,71,125.0
6,0.31,0.32,7.4,0.175,47,159,0.9952,3.19,0.5,9.4,6,1005,28,216.0
6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,1006,69,216.0
6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,1007,45,216.0
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,1008,19,216.0
5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11,6,1009,4,216.0
7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8,1010,26,512.0
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6,1011,49,216.0
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6,1012,63,216.0
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,1013,92,216.0
7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,6,1014,97,216.0
7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7,1015,7,343.0
6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7,1016,44,343.0
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5,1017,71,125.0
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5,1018,48,125.0
6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,1019,45,125.0
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7,1020,54,343.0
8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6,1021,62,216.0
7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7,5,1022,67,125.0
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,1023,13,125.0
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5,1024,94,125.0
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,1025,53,216.0
8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1,6,1026,72,216.0
6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,7,1027,24,343.0
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8,1028,60,512.0
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,1029,26,216.0
7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,6,1030,85,216.0
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,1031,73,125.0
5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6,1032,74,216.0
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6,1033,86,216.0
8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,6,1034,42,216.0
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6,1035,32,216.0
5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5,1036,5,125.0
7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5,1037,23,125.0
6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6,1038,5,216.0
4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7,1039,49,343.0
7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6,1040,80,216.0
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,1041,56,125.0
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6,1042,3,216.0
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6,1043,83,216.0
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,1044,4,216.0
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7,1045,27,343.0
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,1046,30,343.0
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.73333333333333,5,1047,61,125.0
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5,1048,79,125.0
7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7,1049,98,343.0
6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6,1050,10,216.0
6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,6,1051,90,216.0
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6,1052,45,216.0
6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5,1053,64,125.0
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5,1054,50,125.0
