fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,Noise
14.45,1.05,1.71,39.44,0.2,194,114,1.04,2.77,1.07,8.15,8,3913,1
14.8,0.39,1.23,57.88,0.33,190,114,1.0,3.01,0.3,11.25,6,1398,1
10.71,0.3,1.41,17.06,0.36,200,159,1.05,3.24,0.32,12.56,3,954,1
7.41,0.21,1.0,27.01,0.03,271,188,1.04,3.67,0.93,14.01,7,1831,1
8.55,1.01,0.73,29.55,0.34,135,379,0.97,3.9,0.61,12.81,8,1725,1
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,1542,0
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7,3121,0
3.82,0.13,1.72,60.48,0.17,93,194,1.04,2.74,0.31,13.72,6,3845,1
3.84,0.9,0.22,48.72,0.17,200,376,0.97,3.19,0.52,8.61,7,3398,1
8,0.2,0.36,1.2,0.032,21,78,0.9921,3.08,0.37,10.4,6,2475,0
12.85,0.15,1.35,65.56,0.03,74,317,1.06,3.63,0.71,10.64,4,4222,1
8.75,1.08,0.61,62.79,0.28,21,235,0.95,3.1,1.12,9.14,10,3028,1
8.11,0.43,0.52,4.28,0.04,72,226,1.09,2.79,1.04,14.59,10,3580,1
4.92,0.43,1.59,14.59,0.2,218,358,1.04,2.91,0.28,13.85,6,3259,1
6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,6,1064,0
6.3,0.24,0.35,2.3,0.039,43,109,0.99056,3.34,0.44,11.8,6,3094,0
10.33,0.26,0.39,28.39,0.15,34,282,1.04,3.31,0.74,13.15,8,2562,1
7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6,2294,0
8.79,0.41,0.27,14.03,0.34,183,198,0.97,3.33,0.86,8.61,2,2918,1
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,1274,0
8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6,3966,0
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6,2315,0
8.84,0.93,1.28,24.69,0.35,136,32,1.04,2.94,0.58,10.75,6,2684,1
7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5,4838,0
6.9,0.19,0.39,8,0.028,22,84,0.994,3.11,0.66,10.8,6,3371,0
4.73,0.63,0.03,24.22,0.11,99,240,0.99,3.36,1.12,12.89,7,3670,1
8.5,0.08,0.77,47.61,0.31,96,424,0.96,3.5,0.34,13.85,3,3827,1
9.36,0.51,0.4,14.27,0.06,177,442,1.03,3.78,0.78,11.98,6,3802,1
6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,3913,0
7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6,4005,0
5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,4,4533,0
9.0,0.67,0.13,51.14,0.12,53,220,0.99,3.57,0.93,10.25,5,2355,1
6.1,0.15,0.4,1.2,0.03,19,84,0.98926,3.19,0.96,13,6,3254,0
6.08,0.45,1.68,39.48,0.06,208,404,0.98,3.48,0.74,8.68,5,3334,1
8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,6,2698,0
7.39,1.05,0.3,38.12,0.23,50,166,1.04,3.38,0.53,11.45,9,3743,1
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5,4541,0
6.29,0.11,0.81,65.9,0.28,236,26,1.02,3.05,0.32,12.6,2,3893,1
5.84,0.67,1.67,18.41,0.26,268,368,0.95,2.63,1.05,7.8,2,4280,1
12.62,0.69,0.86,12.27,0.3,119,262,1.04,3.92,0.22,11.68,2,2420,1
6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6,2212,0
6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,7,3684,0
9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6,4412,0
6.12,0.74,0.77,37.53,0.02,265,170,1.05,3.96,0.22,10.18,10,3765,1
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5,2000,0
