fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,feature1,feature2
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6,981,54,640
6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7,982,16,667
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5,983,6,731
6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,7,984,48,950
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5,985,96,919
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6,986,20,635
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6,987,81,840
6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6,988,7,625
6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,5,989,98,767
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8,990,52,686
5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5,991,81,648
6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,6,992,99,907
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,993,76,511
8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6,994,50,628
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,995,85,666
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,996,73,559
8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6,997,74,876
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6,998,15,812
7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6,999,59,596
7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5,1000,12,899
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6,1001,67,858
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,1002,22,721
6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6,1003,100,549
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5,1004,84,965
6,0.31,0.32,7.4,0.175,47,159,0.9952,3.19,0.5,9.4,6,1005,6,549
6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,1006,51,642
6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,1007,94,743
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,1008,72,732
5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11,6,1009,100,517
7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8,1010,67,870
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6,1011,66,675
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6,1012,82,588
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,1013,91,778
7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,6,1014,43,761
7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7,1015,62,739
6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7,1016,13,740
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5,1017,74,687
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5,1018,97,745
6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,1019,32,502
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7,1020,89,715
