fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,Noise
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7,4297,0
6,0.44,0.26,3.1,0.053,57,128,0.98982,3.22,0.39,12.7,6,1548,0
10.89,0.48,0.85,7.32,0.14,147,229,1.02,3.76,0.35,7.9,6,3499,1
7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6,4201,0
12.56,0.6,1.45,55.64,0.23,22,49,0.96,3.05,0.58,13.64,7,5069,1
6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,6,3385,0
6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6,2906,0
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6,2525,0
7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6,3115,0
5.34,0.3,0.02,30.21,0.34,106,377,0.98,3.33,0.99,13.58,2,4267,1
5.2,0.31,0.36,5.1,0.031,46,145,0.9897,3.14,0.31,12.4,7,2463,0
7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6,2245,0
5.8,0.31,0.33,1.2,0.036,23,99,0.9916,3.18,0.6,10.5,6,3349,0
12.72,0.96,0.6,35.28,0.06,178,52,0.95,3.38,0.97,10.52,6,2780,1
4.01,0.7,1.43,4.39,0.25,156,394,0.94,2.85,1.11,9.12,6,3241,1
13.74,0.95,1.04,60.63,0.05,88,445,1.01,3.13,1.03,9.51,6,4352,1
6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5,4588,0
12.64,0.37,0.05,28.01,0.08,226,285,1.06,2.63,0.93,12.1,2,2774,1
8.74,0.9,1.51,36.77,0.28,121,384,0.95,3.31,0.91,9.62,4,5074,1
9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,6,3043,0
7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6,2613,0
6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,7,4751,0
6.6,0.29,0.39,6.75,0.031,22,98,0.9913,3.15,0.8,12.9,7,4636,0
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5,4177,0
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,1008,0
7.15,0.89,0.48,57.75,0.1,185,414,0.98,3.03,0.84,13.94,9,1734,1
6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,8,2680,0
6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,6,1296,0
5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5,1571,0
7.69,0.21,0.53,8.94,0.01,73,313,1.06,3.19,0.21,13.96,10,3929,1
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5,4269,0
5.9,0.435,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2,6,3841,0
7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,6,4759,0
7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7,4717,0
13.87,0.36,1.36,33.02,0.29,51,297,1.06,3.97,0.54,11.93,3,2664,1
6.4,0.42,0.46,8.4,0.05,58,180,0.99495,3.18,0.46,9.7,6,3118,0
6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7,1841,0
6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,4,4735,0
7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,6,4756,0
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,3224,0
6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,5,4827,0
7.8,0.27,0.28,1.8,0.05,21,127,0.9934,3.15,0.44,9.9,5,2919,0
7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5,3558,0
13.94,1.13,0.7,21.16,0.02,190,268,0.94,2.64,0.48,14.83,4,3897,1
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6,2879,0
4.87,1.02,1.67,18.13,0.08,159,323,1.06,3.8,0.52,9.71,8,2555,1
6.2,0.3,0.49,11.2,0.058,68,215,0.99656,3.19,0.6,9.4,6,4347,0
6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6,2331,0
8.97,0.4,0.41,9.34,0.06,91,208,1.03,3.41,0.39,14.06,5,2152,1
6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7,1230,0
10.28,0.66,0.31,16.32,0.21,153,78,1.03,3.19,0.74,9.92,2,4309,1
12.3,0.42,1.51,19.74,0.22,104,374,1.03,2.68,0.94,13.38,5,3869,1
5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6,3281,0
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,3727,0
5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,7,4275,0
6.3,0.98,1.29,28.98,0.24,90,168,1.05,3.12,0.39,8.95,7,4816,1
5.9,0.24,0.12,1.4,0.035,60,247,0.99358,3.34,0.44,9.6,6,3602,0
6.06,0.37,0.18,23.51,0.32,45,422,0.94,2.64,0.77,8.03,10,4757,1
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6,3396,0
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4,4493,0
10.52,0.64,1.58,3.79,0.28,128,102,1.07,3.68,1.04,11.21,5,1643,1
6.42,0.61,1.6,55.07,0.06,143,135,1.03,3.42,0.73,12.54,4,2910,1
14.31,0.18,1.1,46.73,0.31,284,60,1.04,2.61,0.35,14.82,8,1082,1
7.36,0.99,1.18,28.62,0.25,198,220,1.08,3.84,1.09,9.09,8,2609,1
9.99,0.95,1.66,10.09,0.24,148,398,0.96,3.66,1.06,10.04,8,2315,1
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,2622,0
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7,3852,0
