fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,Noise
5.91,0.45,0.79,64.12,0.04,62,192,1.03,2.87,1.0,11.8,8,4599,1
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5,3991,0
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5,2812,0
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7,4085,0
6.2,0.26,0.19,3.4,0.049,47,172,0.9924,3.14,0.43,10.4,6,4326,0
13.07,1.07,0.72,68.66,0.21,95,295,1.04,2.96,1.01,11.02,10,4381,1
14.32,0.12,1.39,58.36,0.29,182,273,0.96,3.57,0.63,11.62,9,4334,1
10.02,1.13,0.08,57.02,0.07,81,58,0.97,2.95,0.71,7.61,9,3005,1
7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6,4030,0
6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,6,4213,0
5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,2911,0
5.98,0.17,1.27,40.33,0.29,82,143,0.94,3.44,0.64,12.67,10,2560,1
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6,3755,0
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7,2051,0
6.3,0.25,0.53,1.8,0.021,41,101,0.989315,3.19,0.31,13,6,3786,0
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6,986,0
12.8,0.46,1.54,40.53,0.01,238,236,1.04,3.09,0.89,8.66,8,4466,1
5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,6,2467,0
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6,4056,0
8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6,4682,0
5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6,3652,0
6.4,0.38,0.19,4.5,0.038,36,119,0.99151,3.07,0.42,11.2,6,1962,0
6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,7,3222,0
6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,7,3499,0
5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6,4222,0
