fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,Noise
8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5,2934,0
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,2183,0
12.01,0.72,0.86,59.4,0.24,135,178,1.01,3.1,1.1,9.53,2,2119,1
6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7,1416,0
10.47,0.69,0.7,8.45,0.02,173,54,1.06,3.07,0.27,11.5,4,2896,1
6.98,0.67,1.68,55.49,0.01,101,235,1.04,3.82,0.28,10.81,10,3239,1
5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,8,4156,0
7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6,4030,0
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,1747,0
8.28,0.26,0.7,0.64,0.14,80,287,1.05,3.24,0.29,9.9,6,4505,1
5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5,2740,0
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6,1910,0
6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,6,3577,0
7.14,0.56,0.62,59.36,0.04,50,339,1.03,3.28,1.02,9.33,8,3263,1
8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5,1909,0
7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,5,2157,0
5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5,4334,0
6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6,1688,0
6.19,1.11,0.75,65.32,0.11,75,34,0.99,3.57,1.03,12.53,10,3001,1
13.81,0.1,1.21,28.27,0.1,3,201,1.04,3.88,0.47,14.84,4,4823,1
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,4333,0
11.17,0.22,0.93,31.71,0.05,78,352,0.96,3.81,0.42,10.92,2,4376,1
10.93,1.08,0.31,66.45,0.03,9,326,0.99,2.83,0.8,11.63,3,4110,1
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,4124,0
6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5,2827,0
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,4230,0
6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,5,3324,0
3.76,0.21,0.31,4.1,0.15,70,423,1.08,2.67,0.44,9.63,6,4914,1
3.9,0.33,1.66,40.23,0.24,157,43,1.04,3.39,0.48,9.23,8,1463,1
4.05,0.98,0.59,26.22,0.25,77,207,1.08,2.9,0.98,7.79,10,4676,1
7.29,1.14,0.85,7.28,0.03,26,229,0.96,3.55,1.0,11.92,9,3838,1
6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8,3584,0
6.5,0.44,0.47,5.45,0.014,44,137,0.98984,3.13,0.32,13,8,3364,0
8.47,0.59,1.43,31.17,0.14,184,152,0.97,2.64,1.09,10.95,4,1376,1
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7,2484,0
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6,2819,0
11.4,0.82,0.55,40.47,0.32,181,89,0.95,2.98,0.73,14.21,2,1371,1
7.4,0.58,1.43,39.01,0.3,282,52,1.09,2.95,0.32,8.1,2,3357,1
10.27,0.98,0.98,28.7,0.16,49,398,0.97,2.79,0.74,8.67,9,3635,1
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,2480,0
12.6,0.57,1.11,22.97,0.21,207,389,0.99,3.15,0.55,11.14,4,4254,1
10.31,0.99,1.37,59.51,0.27,159,104,0.96,3.16,0.25,7.68,5,1846,1
5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6,3025,0
7.4,0.37,0.35,5.7,0.061,12,94,0.9965,3.48,0.69,10.7,6,3670,0
7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,7,1280,0
