fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,Noise
7.8,0.27,0.33,2.4,0.053,36,175,0.992,3.2,0.55,11,6,3969,0
6.5,0.22,0.29,7.4,0.028,16,87,0.99311,3.15,0.56,10.9,7,4378,0
6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.5666666666667,5,2999,0
6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5,2420,0
10.53,0.32,0.29,15.78,0.17,95,240,1.03,2.98,0.29,14.55,9,4337,1
9.3,0.11,1.65,59.29,0.02,144,139,0.98,3.74,1.07,11.66,8,1866,1
5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5,1605,0
6.18,0.44,0.69,31.83,0.28,95,203,0.97,3.8,0.81,14.08,8,1197,1
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5,3301,0
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,2239,0
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,2438,0
8.56,0.58,0.72,62.72,0.33,49,122,0.99,3.07,0.54,11.13,5,2426,1
9.45,0.54,0.23,45.39,0.33,70,79,1.04,3.1,0.79,13.56,4,3988,1
7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5,2946,0
6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5,2669,0
12.23,0.83,0.64,12.58,0.14,294,173,1.08,3.17,1.1,7.62,3,3731,1
10.09,0.73,1.35,8.73,0.26,271,40,1.0,3.06,0.62,12.62,4,4537,1
7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6,3358,0
8.67,0.1,1.53,56.3,0.26,131,203,0.97,2.67,1.08,13.8,5,2307,1
6.35,0.23,1.32,63.51,0.26,96,336,1.08,2.96,0.76,10.65,3,2908,1
11.69,0.4,0.63,8.17,0.14,13,408,1.04,2.9,0.75,13.42,2,1542,1
12.54,0.8,0.28,22.75,0.17,171,55,1.01,3.69,0.44,13.68,8,2077,1
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5,1692,0
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6,1058,0
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,2474,0
5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,6,1065,0
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5,2550,0
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,2290,0
8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5,4359,0
6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5,4009,0
8.34,0.39,0.02,43.11,0.1,10,185,1.08,3.14,0.73,10.47,10,1267,1
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,2779,0
4.83,0.35,1.42,41.61,0.04,51,311,1.03,2.68,1.1,7.74,8,2126,1
4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6,4035,0
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,3909,0
14.89,0.96,1.47,57.57,0.18,292,331,1.05,3.8,0.66,8.21,3,2573,1
11.94,0.89,1.58,38.94,0.28,224,161,0.99,3.5,0.79,7.83,8,1531,1
7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,7,1491,0
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,2258,0
9.86,0.46,1.14,61.82,0.31,284,152,1.04,3.44,0.88,13.35,8,1221,1
6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,7,3499,0
9.22,0.69,1.74,54.76,0.26,162,249,1.06,3.9,0.52,13.96,4,3373,1
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4,4781,0
3.71,1.06,1.16,61.62,0.18,55,24,0.98,3.41,0.23,8.79,8,1759,1
13.63,0.63,1.0,61.91,0.07,121,90,1.02,3.14,0.7,10.1,9,1041,1
9.64,0.11,0.45,11.71,0.08,61,460,1.09,2.62,1.02,11.06,9,995,1
11.27,0.94,0.58,50.97,0.03,248,309,1.06,3.86,0.49,9.45,4,3220,1
5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,7,1560,0
6.8,0.2,0.28,12.6,0.048,54,136,0.99556,3.19,0.37,10.7,6,2887,0
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6,986,0
8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5,4064,0
6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5,3359,0
6.9,0.23,0.41,8,0.03,30,114,0.99368,3.22,0.54,11,6,3368,0
4.05,0.64,0.44,48.61,0.11,176,351,1.02,3.52,0.54,13.26,9,3994,1
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6,998,0
12.54,0.23,1.63,4.54,0.32,206,358,1.05,3.19,0.6,7.92,5,1869,1
10.08,0.88,0.61,54.31,0.12,11,303,1.07,3.5,0.31,11.11,6,2989,1
9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4,3052,0
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,2250,0
